scenario_id,run_id,architecture_type,model,expected_action,recommended_action,decision_correct,expected_hazards,detected_hazards,hazard_match_score,exact_hazard_precision,exact_hazard_recall,exact_hazard_f1,semantic_hazard_precision,semantic_hazard_recall,semantic_hazard_f1,hazard_false_positive_count,hazard_false_negative_count,canonical_hazard_coverage,canonical_hazards_all_detected,plausible_noncanonical_hazard_count,spurious_hazard_count,latency_seconds,token_usage,reasoning,confidence_score
MR-002,1,multi_agent_orchestration,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""elevated wheel slip"", ""rising actuator temperature"", ""loose sand"", ""slope""]",0.667,0.25,0.333,0.286,0.5,0.667,0.571,2.0,1.0,0.667,False,2.0,0.0,8.22,1705.0,"All specialist agents have identified elevated wheel slip and rising actuator temperature as significant hazards. The terrain agent also highlights the loose sand and slope as additional risks. Given the medium risk level and the potential for mechanical stress, pausing the rover's movement is the safest action. This allows the actuators to cool down and provides an opportunity to reassess the terrain and consider alternative routes if necessary. The communication delay and battery level also warrant caution to ensure the rover's safety and mission success.",0.85
MR-004,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""uneven terrain"", ""potential obstacles"", ""wheel-clearance warnings"", ""elevated wheel temperature"", ""sharp embedded rocks"", ""narrow passable channels""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,False,4.0,2.0,7.441,1751.0,"The combined reports from the mission planner, telemetry, and terrain agents indicate a high-risk scenario due to uneven terrain, potential obstacles, and elevated wheel temperature. The terrain is described as fractured bedrock with sharp embedded rocks and narrow channels, which poses significant challenges for navigation. Although the mission planner and telemetry agents suggest proceeding with caution, the terrain agent highlights a high risk of wheel damage. Given the communication delay and the importance of preserving the rover's operational integrity, it is safest to pause and conduct a detailed terrain analysis using onboard sensors. This will allow for a more informed decision on whether to proceed or reroute, minimizing the risk of damage to the rover.",0.85
MR-008,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""steep slope"", ""shadowed rocks"", ""wheel overheating"", ""uncertain exit route"", ""long communication delay""]","[""low terrain model confidence"", ""communication delay"", ""steep cross-slope"", ""shadowed rocks"", ""narrow gully entrance"", ""uncertain exit route""]",0.6,0.333,0.4,0.364,0.5,0.6,0.545,3.0,2.0,0.6,False,3.0,0.0,8.864,1877.0,"The scenario presents a high-risk situation due to multiple detected hazards, including low terrain model confidence, significant communication delays, and challenging terrain features such as steep slopes and shadowed rocks. While the science objective is of high value, the combination of these factors increases the risk of potential damage to the rover. The mission planner and telemetry agents both recommend proceeding with caution, but the terrain agent highlights a high risk level. Given the high risk and the importance of preserving the rover's operational integrity, it is safest to pause operations temporarily. This will allow for further assessment of the terrain and consideration of alternative routes or additional data collection to improve terrain model confidence. Monitoring battery usage and ensuring sufficient power for safe operations is also crucial.",0.78
MR-032,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""loose sand"", ""steep slope""]","[""unstable terrain"", ""potential obstacles"", ""intermittent slip spikes"", ""traction loss"", ""slope instability"", ""wheel slippage""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,False,1.0,5.0,10.139,1756.0,"All specialist agents agree on the presence of medium risk due to unstable terrain and intermittent slip spikes. The mission planner, telemetry, and terrain agents recommend proceeding with caution, utilizing terrain analysis and traction control systems. The battery level is sufficient, and the communication delay is manageable. The science objective is important, and the risks can be mitigated by reducing speed and monitoring telemetry closely. Rerouting is suggested only if slip spikes persist, but current conditions allow for cautious progression.",0.85
MR-033,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]","[""uneven terrain"", ""potential dust accumulation"", ""communication delay"", ""moderate battery level"", ""rippled drift field"", ""moderate slope""]",0.5,0.167,0.5,0.25,0.167,0.5,0.25,5.0,1.0,0.5,False,1.0,4.0,8.597,1746.0,"All specialist agents agree on a medium risk level and recommend proceeding with caution. The mission planner suggests a safer path with improved traction, which aligns with the terrain agent's recommendation to use the bedrock shoulder to minimize traction loss. The telemetry agent highlights the need to monitor battery usage and communication delay, which are manageable under current conditions. The science objective is high-priority, and the current battery level is sufficient for the operation. Proceeding with the safer path ensures mission value while maintaining safety.",0.85
MR-037,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""dust-covered ground"", ""unstable edge""]","[""uneven terrain"", ""potential dust storms"", ""slope hazard"", ""traction hazard"", ""wheel-damage hazard""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,False,1.0,4.0,9.523,1853.0,"The mission planner and terrain agent both recommend proceeding with the identified safer path, which offers better traction and reduces the risk of slippage. The telemetry agent confirms that the rover's current operational parameters, including battery level, communication delay, and wheel temperature, are within safe limits. Although there are potential hazards such as uneven terrain and dust storms, the proactive path planning and monitoring of weather conditions mitigate these risks. The confidence scores from the specialists are high, supporting the decision to proceed while maintaining caution and monitoring conditions closely.",0.88
MR-041,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""soft shoulder"", ""cross-slope hazard""]","[""uneven terrain"", ""potential dust accumulation"", ""communication delay"", ""moderate battery level"", ""slope"", ""traction""]",0.5,0.0,0.0,0.0,0.167,0.5,0.25,5.0,1.0,0.5,False,2.0,3.0,14.743,1678.0,"All specialist agents agree on proceeding with the longer, safer path due to its improved traction and reduced risk of wheel damage. The medium risk level is primarily due to the uneven terrain, potential dust accumulation, and communication delay. The battery level is moderate but sufficient for the planned path, and radiation levels are within acceptable limits. Monitoring battery usage and communication systems is advised to ensure mission success.",0.85
MR-044,1,multi_agent_orchestration,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope""]","[""unstable terrain"", ""potential obstacles"", ""intermittent slip spikes"", ""communication delay"", ""loose sand"", ""slope"", ""traction loss"", ""slip streaks""]",1.0,0.125,0.5,0.2,0.25,1.0,0.4,6.0,0.0,1.0,True,2.0,4.0,10.943,1850.0,"The combined reports from the mission planner, telemetry, and terrain agents indicate a high-risk situation due to unstable terrain, potential obstacles, and traction issues on a loose sand slope. While the mission planner and telemetry agents suggest proceeding with caution, the terrain agent highlights a high risk due to slip streaks and traction loss. Given the high risk and the importance of preserving the rover's operational integrity, it is safest to pause and conduct a short-range scan to assess terrain stability and identify obstacles before proceeding. This action will help ensure the rover's safety while maintaining the mission's science objectives.",0.85
MR-045,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]","[""uneven terrain"", ""potential dust storms"", ""rippled drift field"", ""moderate slope""]",0.5,0.25,0.5,0.333,0.25,0.5,0.333,3.0,1.0,0.5,False,1.0,2.0,10.118,1837.0,"The mission planner and terrain agent both identify medium risk due to uneven terrain and potential dust storms. However, the mission planner suggests a safer path with improved traction, which aligns with the terrain agent's recommendation to minimize traction loss. The telemetry agent reports all systems are within operational norms, with no immediate hazards detected. Given the high-priority science objective and the proactive path planning, proceeding with the safer path while monitoring conditions is the best course of action. This balances mission value with safety.",0.88
MR-049,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""dust-covered ground"", ""unstable edge""]","[""uneven terrain"", ""potential dust storms"", ""communication delay"", ""moderate battery level"", ""slope hazard"", ""traction hazard"", ""wheel-damage hazard""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,False,1.0,6.0,8.704,1694.0,"All specialist agents agree on proceeding with the planned path, which is identified as safer despite being longer. The path offers improved traction and safety, which is crucial given the mixed sand-and-gravel terrain with a slope. The communication delay and moderate battery level are noted, but they are manageable with close monitoring. The radiation level is within acceptable limits, and the wheel temperature is stable. Continuous monitoring and adjustments to speed and navigation will mitigate the identified risks.",0.85
MR-052,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""traction loss risk"", ""embedded rocks""]","[""terrain instability"", ""loose surface material"", ""intermittent slip spikes"", ""slope"", ""traction"", ""obstacle""]",0.5,0.0,0.0,0.0,0.167,0.5,0.25,5.0,1.0,0.5,False,1.0,4.0,8.198,1683.0,"All specialist agents report a medium risk level due to intermittent slip spikes and terrain instability. The mission planner suggests a detailed terrain analysis, while the telemetry and terrain agents recommend proceeding with caution. Given the sufficient battery level, normal wheel temperature, and acceptable communication delay, the safest action that preserves mission value is to proceed cautiously. Adjusting speed and monitoring wheel telemetry will help mitigate risks while achieving the science objective.",0.85
MR-053,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""soft shoulder"", ""cross-slope hazard""]","[""uneven terrain"", ""potential dust accumulation"", ""communication delay"", ""moderate battery level"", ""slope hazard"", ""traction hazard""]",0.5,0.0,0.0,0.0,0.167,0.5,0.25,5.0,1.0,0.5,False,2.0,3.0,9.653,1709.0,"All specialist agents agree on proceeding with the identified longer but safer path. This path offers improved traction and minimizes slope-related risks, which is crucial for the rover's stability and successful arm deployment near the layered outcrop. Although the path is longer, the medium risk level is manageable with careful monitoring of battery usage and communication systems. The communication delay and moderate battery level are noted, but they do not pose immediate critical risks. The consistent medium risk level across all agents supports the decision to proceed, ensuring mission objectives are met while maintaining rover safety.",0.85
MR-078,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""wheel-clearance issues"", ""low route confidence"", ""sharp rocks"", ""narrow corridor"", ""blind turns"", ""communication delay""]",0.667,0.167,0.333,0.222,0.333,0.667,0.444,4.0,1.0,0.667,False,4.0,0.0,8.45,1753.0,"The scenario presents multiple hazards including sharp rocks, narrow corridors, blind turns, and uncertain wheel clearance, all of which are compounded by a moderate slope. The mission planner and telemetry agents both indicate medium risk, but the terrain agent highlights a high risk due to the challenging terrain. Additionally, the communication delay of 18 minutes poses a significant risk for real-time intervention. Given the current battery level of 38%, it is prudent to pause the mission to reassess the route and ensure the rover's safety. This action will allow for a more detailed analysis of the terrain and potential rerouting options, while preserving the rover's operational integrity and mission value.",0.85
MR-080,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""terrain model uncertainty"", ""blind turn"", ""limited escape path""]","[""terrain ambiguity"", ""communication delay"", ""slope"", ""traction"", ""obstacle""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,False,2.0,3.0,9.418,1800.0,"The combined reports from the mission planner, telemetry, and terrain agents indicate significant risks associated with proceeding autonomously. The terrain is challenging with broken bedrock and narrow channels, and there is a high risk of mobility issues due to slope and traction concerns. Additionally, the communication delay complicates real-time decision-making, increasing the risk of an autonomous mistake. Although the battery level is currently at 48%, the potential for encountering obstacles and the need for precise navigation suggest that pausing to reassess and potentially reroute or request human intervention is the safest course of action to preserve mission value and ensure rover safety.",0.85
MR-081,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""sharp ejecta blocks"", ""long communication delay"", ""cross-slope hazard""]","[""disagreement on entry angle"", ""communication delay"", ""elevated wheel temperature"", ""sharp ejecta blocks"", ""ambiguous traction"", ""14-degree slope""]",0.667,0.167,0.333,0.222,0.333,0.667,0.444,4.0,1.0,0.667,False,2.0,2.0,9.826,1718.0,"The scenario presents multiple medium-level risks, including disagreement on the safest entry angle, communication delays, elevated wheel temperature, and challenging terrain with sharp ejecta blocks and ambiguous traction. Given the communication delay and the need for consensus on the entry angle, it is prudent to pause the mission to conduct a detailed analysis of the entry angles and resolve discrepancies. This will ensure the rover's safety and mission success. Monitoring the wheel temperature and assessing real-time traction are also necessary before proceeding.",0.82
MR-082,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""confined turning space"", ""wheel damage risk"", ""steep slope""]","[""steep terrain"", ""wheel clearance issues"", ""low route confidence"", ""communication delay"", ""elevated wheel temperature"", ""rocky terrain"", ""15-degree slope"", ""limited turnaround space""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,False,7.0,1.0,11.261,1955.0,"The scenario presents multiple high-risk factors, including steep and rocky terrain, wheel clearance issues, and limited turnaround space, which could lead to the rover becoming immobilized or damaged. The communication delay further complicates real-time decision-making. While the battery level is currently sufficient, the elevated wheel temperature and low route confidence necessitate caution. Given these risks, pausing to conduct a detailed terrain analysis and possibly deploying a drone for reconnaissance is the safest course of action. This will allow for a more informed decision on whether to proceed or reroute, ensuring the safety of the rover and the success of the mission.",0.82
MR-084,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""terrain ambiguity"", ""communication delay"", ""elevated wheel temperature"", ""sharp rocks"", ""blind turns"", ""uncertain wheel clearance"", ""17-degree slope""]",0.667,0.143,0.333,0.2,0.286,0.667,0.4,5.0,1.0,0.667,False,4.0,1.0,7.893,1712.0,"The scenario presents multiple hazards including terrain ambiguity, communication delay, elevated wheel temperature, and challenging terrain features such as sharp rocks and blind turns. The terrain agent has identified a high risk level due to these factors, suggesting the need for enhanced navigation and potential remote operator intervention. Given the medium battery level and the critical nature of the terrain, it is prudent to pause and request human review to ensure safe navigation and mission success. This approach balances the need for caution with the mission's scientific objectives.",0.85
MR-086,1,multi_agent_orchestration,gpt-4o,request_human_review,reroute,False,"[""terrain model uncertainty"", ""blind turn"", ""limited escape path""]","[""wheel-clearance issues"", ""low route confidence"", ""slope hazard"", ""traction hazard"", ""obstacle hazard"", ""wheel-damage hazard""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,False,3.0,3.0,8.749,1768.0,"The combined reports from the mission planner, telemetry, and terrain agents indicate significant hazards related to wheel clearance, terrain slope, and potential obstacles. The terrain agent specifically highlights the high risk associated with the current path due to the broken bedrock ledge network and narrow channels. Given the medium battery level and the communication delay, it is prudent to reroute to ensure the rover's safety and mission success. Rerouting will mitigate the high risk of wheel damage and improve route confidence, while still allowing the rover to achieve its science objectives with a safer approach.",0.85
MR-088,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""confined turning space"", ""wheel damage risk"", ""steep slope""]","[""steep terrain"", ""communication delay"", ""battery constraints"", ""terrain ambiguity"", ""slope hazard"", ""traction hazard"", ""obstacle hazard"", ""wheel-damage hazard""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,False,4.0,4.0,9.49,1748.0,"The scenario presents multiple high-risk factors including steep terrain, communication delay, and battery constraints. While the mission planner and terrain agent suggest proceeding with caution, the combined hazards and the high risk level identified by both agents necessitate a more conservative approach. Pausing operations will allow for a detailed terrain analysis and ensure that the rover does not encounter irreversible damage or become stranded due to communication delays or battery depletion. This approach prioritizes the safety of the rover while maintaining the potential for mission success once conditions improve.",0.85
MR-089,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""shadowed rocks"", ""route ambiguity"", ""long communication delay""]","[""disagreement on entry angle"", ""potential for rover instability"", ""communication delay"", ""elevated wheel temperature"", ""slope hazard"", ""low visibility"", ""unknown terrain features"", ""potential loose soil""]",0.333,0.0,0.0,0.0,0.125,0.333,0.182,7.0,2.0,0.333,False,2.0,5.0,8.752,1871.0,"The scenario presents multiple hazards, including a disagreement on the safest entry angle, potential rover instability due to terrain slope, and a communication delay. The terrain agent highlights a high-risk environment with low visibility and unknown features, which could lead to rover instability. The elevated wheel temperature adds to the risk. Given the medium to high risk levels reported by the specialists and the need for a detailed analysis of entry angles, it is safest to pause the mission. This will allow for further analysis and simulation of the proposed entry angles, ensuring that the rover's stability and safety are prioritized. Additionally, this pause will provide time to address the communication delay and monitor the wheel temperature closely.",0.8
