scenario_id,architecture_type,runs,expected_action,modal_recommended_action,decision_accuracy,mean_exact_hazard_f1,mean_semantic_hazard_f1,mean_hazard_false_positive_count,mean_hazard_false_negative_count,mean_canonical_hazard_coverage,mean_plausible_noncanonical_hazard_count,mean_spurious_hazard_count,mean_latency_seconds,mean_token_usage,mean_confidence_score
MR-001,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.4,1.0,0.0,0.0,2.4,7.372,1633.0,0.92
MR-002,multi_agent_orchestration,5,reroute,pause,0.0,0.0,0.0,5.2,3.0,0.0,2.2,3.0,13.921,1869.6,0.85
MR-003,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.48,2.2,0.0,1.0,1.0,1.2,11.212,1922.8,0.944
MR-004,multi_agent_orchestration,5,request_human_review,proceed,0.0,0.0,0.197,4.4,2.2,0.266,1.8,2.6,11.067,1905.2,0.85
MR-005,multi_agent_orchestration,5,reroute,proceed,0.0,0.387,0.387,2.2,1.0,0.5,1.0,1.2,9.549,1900.6,0.856
MR-006,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,5.2,2.0,0.0,3.4,1.8,10.835,1888.8,0.844
MR-007,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.2,1.0,0.0,0.0,2.2,10.005,1725.8,0.92
MR-008,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.178,3.2,4.2,0.16,2.0,1.2,10.025,1880.8,0.85
MR-009,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.2,1.0,0.0,1.4,1.8,9.31,1752.4,0.926
MR-010,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,11.709,1721.8,0.932
MR-011,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.0,1.0,0.0,0.4,2.6,9.527,1698.2,0.92
MR-012,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.8,1.0,0.0,1.8,2.0,8.853,1768.8,0.906
MR-013,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.2,1.0,0.0,0.2,3.0,9.47,1722.8,0.906
MR-014,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.4,1.0,0.0,0.0,2.4,9.543,1644.6,0.926
MR-015,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.8,1.0,0.0,0.4,2.4,8.215,1670.2,0.92
MR-016,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.2,1.0,0.0,0.4,1.8,9.986,1713.8,0.932
MR-017,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.0,1.0,0.0,0.2,2.8,8.461,1697.6,0.92
MR-018,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.6,1.0,0.0,0.0,2.6,8.45,1727.4,0.92
MR-019,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.8,1.0,0.0,0.4,3.4,9.791,1832.6,0.88
MR-020,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,8.611,1718.0,0.888
MR-021,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.6,1.0,0.0,0.4,2.2,11.404,1681.0,0.926
MR-022,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.6,1.0,0.0,0.0,2.6,10.523,1701.6,0.926
MR-023,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.0,1.0,0.0,0.2,2.8,8.809,1705.2,0.92
MR-024,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.8,1.0,0.0,1.0,1.8,8.514,1702.6,0.92
MR-025,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.4,1.0,0.0,0.2,3.2,9.186,1704.6,0.912
MR-026,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.6,1.0,0.0,0.0,2.6,8.643,1619.0,0.92
MR-027,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.2,1.0,0.0,1.2,2.0,9.866,1735.0,0.92
MR-028,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.8,1.0,0.0,0.4,2.4,8.773,1686.2,0.888
MR-029,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.6,1.0,0.0,0.0,2.6,9.643,1671.8,0.92
MR-030,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.4,1.0,0.0,0.2,2.2,8.283,1705.8,0.92
MR-031,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.6,1.0,0.0,0.0,3.6,9.71,1739.0,0.882
MR-032,multi_agent_orchestration,5,reroute,proceed,0.2,0.0,0.0,6.8,2.0,0.0,1.0,5.8,11.843,1881.2,0.85
MR-033,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.0,5.6,2.0,0.0,0.6,5.0,10.697,1922.2,0.85
MR-034,multi_agent_orchestration,5,reroute,proceed,0.2,0.0,0.0,4.2,2.0,0.0,2.8,1.4,9.45,1894.2,0.85
MR-035,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.35,2.8,1.0,0.5,1.0,1.8,10.401,1901.2,0.85
MR-036,multi_agent_orchestration,5,reroute,proceed,0.2,0.0,0.0,4.0,3.0,0.0,1.0,3.0,13.346,1893.2,0.85
MR-037,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,11.318,1981.6,0.856
MR-038,multi_agent_orchestration,5,reroute,reroute,0.6,0.0,0.0,4.6,2.0,0.0,3.8,0.8,11.046,2056.6,0.85
MR-039,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.0,4.4,2.0,0.0,1.2,3.2,9.988,1897.8,0.85
MR-040,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.0,4.4,2.0,0.0,1.0,3.4,13.319,1864.2,0.844
MR-041,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.0,6.0,2.0,0.0,2.0,4.0,8.987,1857.0,0.85
MR-042,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.0,4.8,3.0,0.0,2.8,2.0,9.971,1886.0,0.85
MR-043,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.0,3.8,2.0,0.0,1.0,2.8,10.854,2020.4,0.85
MR-044,multi_agent_orchestration,5,reroute,reroute,0.6,0.0,0.0,5.4,2.0,0.0,1.0,4.4,10.418,1896.4,0.85
MR-045,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.0,5.0,2.0,0.0,0.6,4.4,12.138,1946.0,0.856
MR-046,multi_agent_orchestration,5,reroute,reroute,0.8,0.0,0.0,4.2,2.0,0.0,3.2,1.0,10.34,1912.6,0.85
MR-047,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.4,2.0,1.0,0.5,1.0,1.0,9.518,1796.4,0.85
MR-048,multi_agent_orchestration,5,reroute,reroute,0.6,0.0,0.0,4.4,3.0,0.0,1.2,3.2,11.968,1848.2,0.85
MR-049,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.0,5.2,2.0,0.0,0.0,5.2,10.073,1827.4,0.85
MR-050,multi_agent_orchestration,5,reroute,reroute,0.6,0.0,0.0,4.4,2.0,0.0,3.4,1.0,11.769,2015.0,0.85
MR-051,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.0,4.0,2.0,0.0,1.2,2.8,10.84,1960.6,0.85
MR-052,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.0,5.4,2.0,0.0,1.0,4.4,10.475,1873.8,0.85
MR-053,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.0,5.6,2.0,0.0,2.0,3.6,10.429,1881.0,0.85
MR-054,multi_agent_orchestration,5,reroute,proceed,0.4,0.0,0.0,4.4,3.0,0.0,2.6,1.8,9.153,1887.4,0.85
MR-055,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.5,2.0,0.0,1.0,0.8,1.2,10.079,1846.0,0.87
MR-056,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,7.0,2.0,0.0,1.8,5.2,13.423,1962.0,0.85
MR-057,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,5.4,1.0,0.0,1.0,4.4,10.315,1878.8,0.85
MR-058,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,5.4,1.0,0.0,3.0,2.4,11.662,1954.2,0.85
MR-059,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.0,2.0,0.0,2.0,2.0,12.186,1785.0,0.85
MR-060,multi_agent_orchestration,5,pause,pause,1.0,0.129,0.129,6.0,1.4,0.3,1.4,4.6,9.093,1851.2,0.85
MR-061,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.324,4.2,0.0,1.0,1.0,3.2,10.515,1811.8,0.85
MR-062,multi_agent_orchestration,5,pause,pause,1.0,0.133,0.4,2.8,0.8,0.6,1.0,1.8,12.21,1833.6,0.85
MR-063,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.6,1.0,0.0,1.6,3.0,9.942,1839.8,0.89
MR-064,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,8.0,1.0,0.0,2.0,6.0,12.62,2002.4,0.85
MR-065,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,5.4,2.0,0.0,1.4,4.0,9.917,1902.4,0.85
MR-066,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,5.2,2.0,0.0,3.2,2.0,11.916,1909.2,0.85
MR-067,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.48,2.2,0.0,1.0,0.2,2.0,10.605,1785.2,0.85
MR-068,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.124,5.8,1.4,0.3,2.0,3.8,9.699,1818.8,0.85
MR-069,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,5.6,1.0,0.0,1.8,3.8,9.042,1816.6,0.85
MR-070,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.4,1.0,0.0,2.6,1.8,10.889,1794.8,0.85
MR-071,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.2,2.0,0.0,1.4,2.8,9.886,1853.0,0.89
MR-072,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,8.0,2.0,0.0,2.0,6.0,10.058,1958.8,0.85
MR-073,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.298,4.8,0.0,1.0,1.8,3.0,11.579,1907.0,0.85
MR-074,multi_agent_orchestration,5,pause,pause,1.0,0.05,0.144,4.8,1.4,0.3,2.2,2.6,13.327,1906.2,0.85
MR-075,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.0,1.0,0.0,1.2,2.8,12.138,1810.4,0.85
MR-076,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,5.8,1.0,0.0,2.0,3.8,8.351,1758.4,0.85
MR-077,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,5.2,2.0,0.0,1.4,3.8,9.461,1945.6,0.85
