scenario_id,baseline_accuracy,delta_drop_telemetry,delta_drop_terrain,delta_drop_risk,delta_drop_mission_planner
MR-079,100,0,-100,0,-40.0
MR-036,100,0,-80.0,0,0
MR-082,80.0,-60.0,-60.0,-40.0,-80.0
MR-087,100,0,-20.0,0,-80.0
MR-054,100,0,-60.0,0,0
MR-083,60.0,0.0,-40.0,-40.0,-60.0
MR-085,100,0,-20.0,0,-60.0
MR-086,60.0,-40.0,-60.0,-60.0,-60.0
MR-091,100,0,-60.0,0,-60.0
MR-095,60.0,-40.0,-60.0,-20.0,0.0
MR-097,80.0,20.0,20.0,20.0,-60.0
MR-099,60.0,0.0,-60.0,40.0,-40.0
MR-038,100,0,-40.0,0,0
MR-048,100,0,-40.0,0,0
MR-050,100,0,-40.0,0,0
MR-093,80.0,20.0,-20.0,0.0,-40.0
MR-098,40.0,-20.0,-40.0,-20.0,-40.0
MR-004,20.0,20.0,-20.0,40.0,-20.0
MR-005,20.0,40.0,-20.0,40.0,80.0
MR-006,100,0,0,-20.0,0
MR-034,40.0,20.0,-20.0,20.0,20.0
MR-040,20.0,20.0,-20.0,60.0,-20.0
MR-051,100,0,0,0,-20.0
MR-052,60.0,-20.0,40.0,0.0,-20.0
MR-094,20.0,0.0,0.0,40.0,-20.0
MR-001,100,0,0,0,0
MR-002,0,0,0,0,0
MR-003,100,0,0,0,0
MR-007,100,0,0,0,0
MR-008,0,0,0,0,0
MR-009,100,0,0,0,0
MR-010,100,0,0,0,0
MR-011,100,0,0,0,0
MR-012,100,0,0,0,0
MR-013,100,0,0,0,0
MR-014,100,0,0,0,0
MR-015,100,0,0,0,0
MR-016,100,0,0,0,0
MR-017,100,0,0,0,0
MR-018,100,0,0,0,0
MR-019,100,0,0,0,0
MR-020,100,0,0,0,0
MR-021,100,0,0,0,0
MR-022,100,0,0,0,0
MR-023,100,0,0,0,0
MR-024,100,0,0,0,0
MR-025,100,0,0,0,0
MR-026,100,0,0,0,0
MR-027,100,0,0,0,0
MR-028,100,0,0,0,0
MR-029,100,0,0,0,0
MR-030,100,0,0,0,0
MR-031,100,0,0,0,0
MR-033,0,0,0,0,0
MR-035,100,0,0,0,0
MR-037,0,0,0,0,0
MR-039,100,0,0,0,0
MR-041,0,0,0,0,0
MR-042,100,0,0,0,0
MR-043,100,0,0,0,0
MR-045,0,0,0,0,20.0
MR-047,100,0,0,0,0
MR-049,0,0,0,0,0
MR-053,0,0,0,0,0
MR-055,100,0,0,0,0
MR-056,100,0,0,0,0
MR-057,100,0,0,0,0
MR-058,100,0,0,0,0
MR-059,100,0,0,0,0
MR-060,100,0,0,0,0
MR-061,100,0,0,0,0
MR-062,100,0,0,0,0
MR-063,100,0,0,0,0
MR-064,100,0,0,0,0
MR-065,100,0,0,0,0
MR-066,100,0,0,0,0
MR-067,100,0,0,0,0
MR-068,100,0,0,0,0
MR-069,100,0,0,0,0
MR-070,100,0,0,0,0
MR-071,100,0,0,0,0
MR-072,100,0,0,0,0
MR-073,100,0,0,0,0
MR-074,100,0,0,0,0
MR-075,100,0,0,0,0
MR-076,100,0,0,0,0
MR-077,100,0,0,0,0
MR-078,0,0,0,0,0
MR-080,0,0,0,0,0
MR-081,20.0,40.0,0.0,40.0,0.0
MR-084,0,0,0,20.0,0
MR-088,0,0,0,0,0
MR-089,40.0,40.0,60.0,20.0,0.0
MR-090,0,0,0,0,0
MR-092,0,0,0,0,0
MR-096,0,0,0,0,0
MR-100,0,0,0,0,0
MR-032,0,20.0,20.0,20.0,20.0
MR-044,40.0,20.0,20.0,20.0,20.0
MR-046,40.0,20.0,40.0,60.0,60.0
