scenario_id,run_id,architecture_type,model,expected_action,recommended_action,decision_correct,expected_hazards,detected_hazards,hazard_match_score,exact_hazard_precision,exact_hazard_recall,exact_hazard_f1,semantic_hazard_precision,semantic_hazard_recall,semantic_hazard_f1,hazard_false_positive_count,hazard_false_negative_count,canonical_hazard_coverage,canonical_hazards_all_detected,plausible_noncanonical_hazard_count,spurious_hazard_count,latency_seconds,token_usage,reasoning,confidence_score
MR-001,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""minor pebble field""]","[""communication delay"", ""radiation exposure"", ""terrain slope"", ""scattered pebble fields""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0,False,1,3,7.644,1645,"The telemetry and terrain agents both report low risk levels with high confidence scores, indicating that the rover is in good health and the terrain is manageable. The risk agent highlights medium risk due to communication delay and radiation exposure, but these are within acceptable limits according to the telemetry agent. The terrain slope and pebble fields are noted but not deemed hazardous enough to alter the mission plan. Given the high power margin and nominal thermal readings, proceeding with the mission while monitoring the identified risks is the safest action that preserves mission value.",0.92
MR-002,1,multi_agent_orchestration,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""Low battery level"", ""Elevated wheel slip"", ""Rising actuator temperature"", ""Steep terrain slope"", ""Communication delay""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0.0,False,2,3,13.725,1905,"Given the high risk level identified by both the risk and terrain agents, and the medium risk level from the telemetry agent, the safest course of action is to pause the rover. This will allow for battery conservation, reduce mechanical stress, and provide time to monitor and address the elevated wheel slip and actuator temperature. The steep terrain and communication delay further justify a cautious approach. Pausing will also allow for a reassessment of conditions and potential rerouting if necessary.",0.85
MR-003,1,multi_agent_orchestration,gpt-4o,pause,pause,True,"[""low battery""]","[""Low battery level"", ""Communication delay"", ""Elevated wheel temperature"", ""Low traction due to basaltic surface""]",1.0,0.0,0.0,0.0,0.25,1.0,0.4,3,0,1.0,True,1,2,9.581,1837,"The rover is facing a critical situation with a low battery level, which is below the reserve threshold, and a significant communication delay of 9 minutes. These factors pose a high risk to the rover's ability to perform its mission objectives safely. The elevated wheel temperature and low traction on the basaltic surface add to the operational risks. While the terrain is manageable, the combination of these hazards necessitates immediate action to conserve power and ensure the rover's safety. Pausing non-essential operations will help preserve battery life and allow for monitoring of the wheel temperature and communication status. This approach balances the need for safety with the preservation of mission value.",0.9
MR-004,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""Wheel clearance warnings"", ""Moderate terrain slope"", ""Elevated wheel temperature"", ""Sharp embedded rocks"", ""Narrow passable channels"", ""Fractured bedrock""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,0.0,False,5,1,11.52,1823,"The combined reports from the risk, telemetry, and terrain agents indicate a high-risk scenario due to multiple hazards including wheel clearance issues, elevated wheel temperature, and challenging terrain with sharp rocks and narrow channels. While the science objective is important, the safety of the rover must be prioritized. The elevated wheel temperature and potential for wheel damage from sharp rocks necessitate a pause in operations to conduct a detailed terrain analysis and assess the situation further. This will allow for a safer approach to the science target while minimizing the risk of damage to the rover.",0.85
MR-005,1,multi_agent_orchestration,gpt-4o,reroute,reroute,True,"[""sand ripples"", ""moderate slope""]","[""sand ripples"", ""terrain slope"", ""communication delay"", ""traction"", ""wheel-damage""]",0.5,0.2,0.5,0.286,0.2,0.5,0.286,4,1,0.5,False,1,3,9.307,1874,"All specialist agents agree on the presence of sand ripples and the medium risk level associated with the current terrain. The risk agent and telemetry agent both recommend taking a longer route to avoid sand ripples, while the terrain agent suggests using the bedrock bench to minimize traction and wheel-damage risks. Given the communication delay and the need to preserve the rover's wheels, the safest action is to reroute via the bedrock bench, which aligns with the terrain agent's recommendation and mitigates the risks identified by all agents. This approach ensures the rover avoids sand ripples and reduces the risk of wheel damage while maintaining mission objectives.",0.85
MR-006,1,multi_agent_orchestration,gpt-4o,pause,pause,True,"[""elevated radiation"", ""dust opacity""]","[""Increased radiation levels"", ""Dust accumulation"", ""Reduced visibility"", ""Moderate terrain slope"", ""Communication delay""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0.0,False,3,2,11.578,1755,"The combined reports from the risk, telemetry, and terrain agents indicate a high-risk scenario due to increased radiation levels, dust accumulation, and reduced visibility. The risk agent suggests prioritizing the rover's safety by minimizing exposure to these hazards. Although the terrain is stable, the moderate slope and potential for dust interference with sensors add to the risk. Given the communication delay and the need to ensure the rover's systems are not compromised, pausing non-essential operations is the safest course of action. This will allow for monitoring of environmental conditions and ensure the rover's safety until conditions improve.",0.85
MR-007,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""nearby dune margin""]","[""terrain slope"", ""communication delay"", ""traction""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,False,0,3,7.325,1547,"The rover is currently in a generally safe operational state with a stable battery level and no immediate hazards detected by the telemetry agent. However, the risk agent and terrain agent both highlight potential risks associated with the terrain slope and traction, as well as the communication delay. Given these factors, the safest course of action that still preserves mission value is to proceed with caution. This involves monitoring traction and slope stability, adjusting speed and wheel torque as necessary, and ensuring all commands are verified before execution due to the communication delay. Regular checks on wheel temperature and radiation levels should also be maintained.",0.88
MR-008,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""steep slope"", ""shadowed rocks"", ""wheel overheating"", ""uncertain exit route"", ""long communication delay""]","[""steep terrain slope"", ""communication delay"", ""low terrain model confidence"", ""steep cross-slope"", ""shadowed rocks"", ""uncertain exit route""]",0.6,0.333,0.4,0.364,0.5,0.6,0.545,3,2,0.6,False,3,0,8.272,1885,"The scenario presents several high-risk factors including a steep terrain slope, low terrain model confidence, and significant communication delays. The terrain agent highlights additional hazards such as shadowed rocks and an uncertain exit route, which could further complicate navigation. While the science objective is of high value, the combination of these risks suggests that proceeding without further assessment could jeopardize the rover's safety. Pausing operations allows for a reassessment of the terrain and communication conditions, potentially identifying a safer path or waiting for improved communication windows. This approach balances mission value with the need to ensure the rover's safety.",0.82
MR-009,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""minor pebble field""]","[""communication delay"", ""potential for increased radiation exposure"", ""isolated pebble clusters"", ""shallow wheel ruts""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0,False,2,2,7.336,1711,"All specialist agents report low risk levels and confirm that the rover is operating under stable conditions. The communication delay is within expected parameters, and radiation levels are low. The terrain is manageable with minor obstacles that do not pose significant risk. The battery level and wheel temperature are within operational limits, supporting continued mission activities. Proceeding with the mission will allow the rover to achieve its science objective of acquiring multispectral imagery without undue risk.",0.95
MR-010,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""nearby dune margin""]","[""communication delay"", ""terrain slope""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,False,0,2,7.665,1623,"All specialist agents report low risk levels with stable operational conditions. The communication delay is typical and manageable, and the terrain slope is gentle with stable traction indicators. The battery level is sufficient, and the wheel temperature is within operational norms. The science objective of capturing a context panorama is valuable and achievable under current conditions. Proceeding with the mission maintains mission value while adhering to safety protocols.",0.95
