scenario_id,run_id,architecture_type,model,expected_action,recommended_action,decision_correct,expected_hazards,detected_hazards,hazard_match_score,exact_hazard_precision,exact_hazard_recall,exact_hazard_f1,semantic_hazard_precision,semantic_hazard_recall,semantic_hazard_f1,hazard_false_positive_count,hazard_false_negative_count,canonical_hazard_coverage,canonical_hazards_all_detected,plausible_noncanonical_hazard_count,spurious_hazard_count,latency_seconds,token_usage,reasoning,confidence_score
MR-002,1,multi_agent_orchestration,gpt-5.5,reroute,request_human_review,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""elevated wheel slip indicating poor traction"", ""loose sand drift on an 18-degree crater-rim slope"", ""visible slip marks and risk of wheel sinkage or embedding"", ""rising actuator temperature and high wheel temperature at 68\u00b0C"", ""limited battery margin at 34% reducing recovery options"", ""14-minute communication delay limiting real-time intervention"", ""potential rollover, sliding, wheel wear, or mobility hardware stress if driving continues""]",0.333,0.0,0.0,0.0,0.143,0.333,0.2,6.0,2.0,0.333,False,4.0,2.0,40.554,3452.0,"All specialists agree that continuing autonomously toward the crater rim is unsafe due to combined traction, slope, thermal, and power-margin risks. The terrain and risk agents suggest eventual rerouting via lower-slope firmer ground, while telemetry emphasizes pausing for cooling and monitoring. The mission planner adds that the communication delay and degraded mobility indicators warrant ground review before resuming. The safest action that preserves mission value is to stop further autonomous traverse, enter a safe monitoring state, collect opportunistic terrain imagery if power/thermal limits allow, transmit diagnostics and imagery, and await human-approved reroute or retreat commands.",0.89
MR-004,1,single_agent,gpt-5.5,request_human_review,reroute,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""multiple wheel-clearance warnings"", ""fractured bedrock"", ""sharp embedded rocks"", ""narrow passable channels"", ""moderate terrain slope""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,False,4.0,1.0,5.216,521.0,"The science target is high priority and battery level is sufficient, but multiple wheel-clearance warnings in fractured terrain with sharp embedded rocks create a significant mobility and wheel-damage risk. A reroute preserves mission continuity and science value while reducing the chance of becoming immobilized or damaging the wheels.",0.86
MR-008,1,multi_agent_orchestration,gpt-5.5,request_human_review,reroute,False,"[""steep slope"", ""shadowed rocks"", ""wheel overheating"", ""uncertain exit route"", ""long communication delay""]","[""22-degree steep cross-slope with rollover and traction-loss risk"", ""narrow gully entrance limiting maneuvering and escape options"", ""shadowed rocks and low visibility increasing obstacle-detection uncertainty"", ""low terrain model confidence"", ""uncertain exit route with entrapment risk"", ""possible hidden angular rocks causing wheel damage"", ""24-minute communication delay limiting timely intervention"", ""elevated wheel temperature indicating possible mobility stress"", ""moderate battery reserve limiting contingency margin""]",0.4,0.0,0.0,0.0,0.222,0.4,0.286,7.0,3.0,0.4,False,3.0,4.0,41.678,3576.0,"All specialists rate the situation as high risk. The main conflict is between telemetry's conditional conservative proceed recommendation and the other agents' stronger recommendation not to enter the gully. Given the low terrain confidence, constrained gully geometry, steep cross-slope, uncertain exit route, elevated wheel temperature, and long communication delay, autonomous entry is not justified. To preserve mission value, the rover should avoid committing to the gully and instead reroute to a stable rim or approach-zone vantage point for stand-off imaging and spectral observations of the hydrated mineral signatures, while collecting terrain data for later human review before any descent is attempted.",0.74
MR-033,1,multi_agent_orchestration,gpt-5.5,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]","[""degrading lighting conditions"", ""moderate battery reserve for longer traverse"", ""11-minute communication delay limiting real-time intervention"", ""longer traverse duration and power demand"", ""13-degree slope increasing slip risk"", ""rippled drift field with potential low traction, sinkage, or embedding"", ""elevated wheel temperature at 55"", ""wheel-damage risk from repeated slip or high wheel torque""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,False,4.0,4.0,32.6,3080.0,"All specialist reports converge on medium risk and support using the longer, safer route because it improves traction confidence and preserves the time-sensitive clay exposure objective. The main conflict is whether to simply proceed or treat the safer bedrock shoulder as a reroute; because the mission log already identifies this safer path as the planned option, the safest mission-preserving decision is to proceed on that route, not enter the rippled drift field. Execution should be conservative: use short drive segments, low speed, traction/slip checks, wheel-temperature monitoring, and battery reserve limits, with autonomous pause or reassessment if lighting, traction, thermal, or energy margins degrade.",0.83
MR-037,1,multi_agent_orchestration,gpt-5.5,reroute,proceed,False,"[""dust-covered ground"", ""unstable edge""]","[""17-degree uphill grade increasing drive load and slip risk"", ""Sharper cross-slope ahead with lateral side-slip or rollover concern"", ""Mixed sand-and-gravel terrain with variable traction and possible wheel sinkage"", ""Elevated wheel temperature indicating potential drivetrain stress"", ""Longer safer traverse increases energy, time, and thermal exposure"", ""15-minute communication delay limits real-time human intervention"", ""Residual traction uncertainty on approach to sulfate-bearing bench""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,False,4.0,3.0,37.039,3147.0,"All specialist reports agree that the longer route improves traction confidence and preserves the science objective of reaching sulfate-bearing rock. Battery level at 63% and low radiation level support continued operations, but the combined mobility hazards from the uphill grade, sharper cross-slope, mixed terrain, elevated wheel temperature, and communication delay keep risk at medium. The safest mission-preserving decision is to proceed on the longer safer path using conservative drive segments, low speed, frequent slip and tilt checks, thermal monitoring, and protected battery margins. The rover should autonomously pause if wheel temperature rises further, traction degrades, lateral slip develops, sinkage is detected, or projected arrival battery margin becomes unsafe.",0.83
MR-049,1,multi_agent_orchestration,gpt-5.5,reroute,proceed,False,"[""dust-covered ground"", ""unstable edge""]","[""Moderate 13-degree uphill slope with sharper cross-slope ahead"", ""Variable traction on mixed sand-and-gravel surface with possible lateral slip, sinkage, or wheel slip in sandy patches"", ""Elevated wheel temperature indicating possible drivetrain thermal stress if sustained"", ""Moderate battery margin for a longer traverse requiring power-aware execution"", ""13-minute communication delay limiting real-time intervention"", ""Potential unverified terrain hazards and final bench approach geometry uncertainty""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,False,4.0,2.0,36.568,3375.0,"Specialist reports are consistent: the longer safer path improves traction confidence and is preferable to a more direct traverse, but the combined mobility, thermal, battery, and communications risks warrant conservative execution. No specialist identified a critical or high-risk condition requiring an immediate halt or human review before starting. The safest mission-preserving decision is to proceed only along the safer planned route at reduced speed with staged waypointing, continuous slip/tilt/sinkage and wheel-temperature monitoring, battery reserve checks, and autonomous stop thresholds. The final approach onto the sulfate-bearing bench should not be committed to if telemetry degrades or terrain geometry is uncertain; in that case the rover should pause and request human review.",0.83
MR-080,1,multi_agent_orchestration,gpt-5.5,request_human_review,reroute,False,"[""terrain model uncertainty"", ""blind turn"", ""limited escape path""]","[""20-minute communication delay limits timely ground intervention"", ""broken bedrock ledge network with narrow channels and limited escape options"", ""terrain ambiguity near fractured outcrop increases autonomous navigation error risk"", ""13-degree slope increases slip, rollback, and traction risk"", ""sharp or irregular fractured bedrock may damage wheels or cause high-centering"", ""wheel temperature elevated at 58\u00b0C, suggesting reduced mobility margin"", ""battery level at 48% constrains retreat and contingency options""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,False,4.0,3.0,37.894,3432.0,"Specialists agree the fractured outcrop has meaningful science value, but terrain, telemetry, and risk assessments identify high mobility and recovery risk. The mission planner supports only a conservative short approach, while the terrain agent advises avoiding the ledge-channel network and selecting a safer bypass. Given the communication delay, limited escape options, elevated wheel temperature, and moderate battery reserve, directly proceeding into ambiguous fractured terrain is not justified. The safest mission-preserving choice is to reroute onto wider, gentler, more continuous terrain if available, maintain a safe standoff distance, collect approach imagery, and defer any close approach or sampling decision until the route and power/thermal margins are reassessed.",0.84
MR-092,1,single_agent,gpt-5.5,request_human_review,reroute,False,"[""terrain model uncertainty"", ""blind turn"", ""limited escape path""]","[""broken bedrock ledge network"", ""narrow channels with limited escape options"", ""moderate 15-degree slope"", ""terrain ambiguity"", ""24-minute communication delay increasing autonomy risk"", ""moderate battery reserve at 48%"", ""elevated wheel temperature""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,False,4.0,3.0,9.114,688.0,"The science target is valuable, but the current terrain presents a high mobility and entrapment risk due to broken ledges, narrow channels, and limited escape options. The 24-minute communication delay increases the consequence of an autonomous navigation error. Battery level remains sufficient to support an alternate path, and no immediate radiation hazard is indicated, so continuing via a safer route best preserves mission continuity while reducing risk.",0.78
MR-094,1,single_agent,gpt-5.5,request_human_review,reroute,False,"[""confined turning space"", ""wheel damage risk"", ""steep slope""]","[""repeated wheel-clearance concerns"", ""low autonav route confidence"", ""rocky 17-degree slope"", ""confined basin with uncertain turnaround space"", ""elevated wheel temperature""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,False,5.0,0.0,8.351,679.0,"Do not proceed on the current steep access route. The combination of repeated wheel-clearance warnings, low route confidence, rocky slope terrain, and limited turnaround options creates a high mobility and entrapment risk. Battery level is adequate and radiation is not the primary constraint, so the safest mission-continuity choice is to seek an alternate path that preserves the science objective without committing the rover to a hazardous confined approach.",0.86
MR-098,1,single_agent,gpt-5.5,request_human_review,reroute,False,"[""terrain model uncertainty"", ""blind turn"", ""limited escape path""]","[""repeated wheel-clearance concerns"", ""low autonomous route confidence"", ""broken bedrock ledge network"", ""narrow channels with limited escape options"", ""moderate slope increasing traversal risk"", ""moderate battery reserve""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,False,4.0,2.0,9.406,715.0,"Proceeding on the current path presents a high mobility risk due to repeated wheel-clearance warnings, low route confidence, and constrained terrain with limited recovery options. A reroute offers the best balance of rover safety, mission continuity, and preserving the opportunity to reach the fractured outcrop science target via a safer approach.",0.86
