scenario_id,run_id,architecture_type,model,expected_action,recommended_action,decision_correct,expected_hazards,detected_hazards,hazard_match_score,exact_hazard_precision,exact_hazard_recall,exact_hazard_f1,semantic_hazard_precision,semantic_hazard_recall,semantic_hazard_f1,hazard_false_positive_count,hazard_false_negative_count,canonical_hazard_coverage,canonical_hazards_all_detected,plausible_noncanonical_hazard_count,spurious_hazard_count,latency_seconds,token_usage,reasoning,confidence_score
MR-002,1,single_agent,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""elevated wheel slip"", ""rising actuator temperature"", ""loose sand drift"", ""sloped terrain""]",0.333,0.0,0.0,0.0,0.25,0.333,0.286,3.0,2.0,0.333,False,3.0,0.0,2.248,458.0,"The current scenario presents multiple hazards that could jeopardize the rover's safety and mission continuity. The elevated wheel slip and rising actuator temperature indicate that the rover is struggling with traction and could potentially overheat or become immobilized. The loose sand drift and sloped terrain further increase the risk of getting stuck or tipping over. Given the current battery level of 34%, it is crucial to avoid unnecessary energy expenditure. Pausing allows for a reassessment of the situation and prevents potential damage while maintaining the option to reroute or request human intervention if necessary.",0.85
MR-002,1,multi_agent_orchestration,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""elevated wheel slip"", ""rising actuator temperature"", ""low battery level"", ""high terrain slope"", ""increased wheel temperature""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,False,3.0,2.0,13.896,2361.0,"The rover is currently facing multiple hazards including elevated wheel slip, rising actuator temperature, and a high terrain slope, all of which are compounded by a low battery level and a significant communication delay. The risk agent and terrain agent both highlight the high risk associated with continuing on the current path due to mechanical stress and potential for tipping. Pausing operations will allow for actuator cooling and battery conservation, reducing the immediate risk to the rover while allowing time to assess alternative routes or strategies to safely reach the science objective.",0.85
MR-004,1,single_agent,gpt-4o,request_human_review,pause,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""wheel-clearance warnings"", ""sharp embedded rocks"", ""narrow passable channels""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,False,3.0,0.0,2.259,443.0,"The mission log indicates multiple wheel-clearance warnings, which suggest potential risks to the rover's mobility and safety. The terrain is described as fractured bedrock with sharp embedded rocks and narrow channels, increasing the likelihood of wheel damage or getting stuck. Although the science objective is high-priority, the current conditions present a high risk to the rover's safety. Pausing allows for a more detailed assessment of the terrain and potential hazards, ensuring the rover's safety and mission continuity.",0.85
MR-004,1,multi_agent_orchestration,gpt-4o,request_human_review,proceed,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""wheel-clearance warnings"", ""potentially uneven terrain"", ""11-degree terrain slope"", ""communication delay"", ""sharp embedded rocks"", ""narrow passable channels"", ""fractured bedrock"", ""elevated wheel temperature""]",0.333,0.0,0.0,0.0,0.125,0.333,0.182,7.0,2.0,0.333,False,5.0,2.0,12.373,2321.0,"All specialist agents agree on the presence of wheel-clearance warnings and the challenging terrain, which includes sharp rocks and narrow channels. The risk level is consistently assessed as medium, with the terrain agent noting a high risk due to the terrain's complexity. However, the mission value of approaching the high-priority science target is significant. The consensus is to proceed with caution, leveraging Autonav and possibly remote operation to navigate safely. Monitoring wheel temperature and battery levels is crucial, and communication delays should be factored into decision-making. The recommendation to proceed aligns with the mission's objectives while maintaining safety protocols.",0.85
MR-008,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""steep slope"", ""shadowed rocks"", ""wheel overheating"", ""uncertain exit route"", ""long communication delay""]","[""low terrain model confidence"", ""communication delay"", ""steep terrain slope"", ""moderate battery level"", ""shadowed rocks"", ""narrow gully entrance"", ""uncertain exit route""]",0.6,0.286,0.4,0.333,0.429,0.6,0.5,4.0,2.0,0.6,False,3.0,1.0,10.663,2282.0,"The scenario presents multiple high-risk factors including low terrain model confidence, significant communication delays, and a steep terrain slope. The terrain agent highlights additional hazards such as shadowed rocks and a narrow gully entrance, which could pose significant risks to the rover's safety. The risk agent's recommendation to delay movement until a more accurate terrain model is available aligns with the need to ensure the rover's safety. Given the high scientific value of the mission, it is crucial to mitigate these risks before proceeding. Pausing the mission allows for further analysis and planning, potentially using additional resources like a drone or scout rover to map the exit route, ensuring a safer path for the rover.",0.85
MR-032,1,single_agent,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope""]","[""intermittent slip spikes"", ""loose sand apron"", ""steeper bench with slip streaks""]",0.5,0.0,0.0,0.0,0.333,0.5,0.4,2.0,1.0,0.5,False,2.0,0.0,2.047,462.0,"The current terrain presents a medium risk due to the loose sand apron and the steeper bench with visible slip streaks, which could lead to increased slip and potential immobilization of the rover. The intermittent slip spikes in the drive telemetry suggest that the rover is already experiencing traction issues. Although the battery level is sufficient and the wheel temperature is within operational limits, the communication delay of 10 minutes could hinder timely intervention if the rover encounters difficulties. Pausing allows for a more detailed assessment of the terrain and potential adjustments to the route to ensure rover safety and mission continuity.",0.85
MR-032,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""loose sand"", ""steep slope""]","[""intermittent slip spikes"", ""potential unstable terrain"", ""12-degree terrain slope"", ""moderate battery level"", ""elevated wheel temperature"", ""loose sand"", ""traction loss"", ""slip streaks""]",0.5,0.125,0.5,0.2,0.125,0.5,0.2,7.0,1.0,0.5,False,2.0,5.0,10.021,2377.0,"All specialist agents agree on the presence of intermittent slip spikes and potential traction issues due to the loose sand and moderate slope. The battery level is moderate, and the wheel temperature is elevated but within operational limits. The mission planner, risk, telemetry, and terrain agents all recommend proceeding with caution, emphasizing the need to reduce speed, enable terrain analysis sensors, and monitor wheel traction closely. Given the medium risk level and the importance of the science objective, the safest action that preserves mission value is to proceed cautiously while being prepared to reroute if conditions worsen.",0.85
MR-033,1,single_agent,gpt-4o,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,False,0.0,0.0,2.017,434.0,"The mission scenario indicates a relatively safe environment for the rover to proceed. The battery level is above 50%, which is sufficient for continued operations. The communication delay is typical for Mars missions and does not pose an immediate risk. The radiation level is within acceptable limits, and the wheel temperature is not at a critical level. The terrain description suggests a safer path has been identified, and the slope is manageable at 13 degrees. The science objective is time-sensitive due to degrading lighting conditions, so proceeding will maximize science value.",0.9
MR-033,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]","[""potential slippage"", ""degrading lighting conditions"", ""moderate terrain slope"", ""elevated wheel temperature"", ""communication delay"", ""rippled drift field""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,False,2.0,4.0,14.15,2269.0,"All specialist agents agree on proceeding with the mission using the identified safer path, which offers improved traction and reduces the risk of slippage. The mission planner and risk agent both emphasize the importance of monitoring battery levels and wheel temperature, while the communication delay is acknowledged as a typical challenge that requires autonomous operations. The terrain agent suggests using the bedrock shoulder path to minimize risks, aligning with the mission planner's recommendation for a safer route. Given the medium risk level and the high-priority science objective, proceeding with caution and continuous monitoring is the best course of action.",0.85
MR-034,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""traction loss risk"", ""embedded rocks""]","[""rough terrain"", ""potential wheel slippage"", ""increased terrain slope"", ""communication delay"", ""moderate battery level"", ""soft regolith"", ""embedded rocks""]",0.5,0.143,0.5,0.222,0.143,0.5,0.222,6.0,1.0,0.5,False,4.0,2.0,9.691,2201.0,"All specialist agents agree on a medium risk level, with the primary hazards being rough terrain, potential wheel slippage, and a 14-degree slope. The battery level is moderate at 54%, and there is a 12-minute communication delay. However, radiation levels and wheel temperatures are within safe limits. The mission objective is to reach a ridge for panoramic observations, which is valuable for science. Given the consensus on proceeding with caution and the importance of the science objective, the safest action that preserves mission value is to proceed while closely monitoring wheel currents and considering alternative routes if conditions worsen.",0.85
