scenario_id,run_id,architecture_type,model,expected_action,recommended_action,decision_correct,expected_hazards,detected_hazards,hazard_match_score,exact_hazard_precision,exact_hazard_recall,exact_hazard_f1,semantic_hazard_precision,semantic_hazard_recall,semantic_hazard_f1,hazard_false_positive_count,hazard_false_negative_count,canonical_hazard_coverage,canonical_hazards_all_detected,plausible_noncanonical_hazard_count,spurious_hazard_count,latency_seconds,token_usage,reasoning,confidence_score
MR-001,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""minor pebble field""]","[""communication delay"", ""terrain slope"", ""radiation exposure""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,False,0,3,6.522,1576,"The mission planner and telemetry agents both recommend proceeding with the mission, citing stable conditions, high power margin, and nominal thermal readings. The risk agent highlights potential risks such as communication delay, terrain slope, and radiation exposure, but these are considered manageable under current protocols. Given the importance of the science objective and the overall low risk level from two agents, proceeding with caution is the safest action that preserves mission value.",0.92
MR-002,1,multi_agent_orchestration,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""elevated wheel slip"", ""rising actuator temperature"", ""low battery level"", ""high terrain slope"", ""increased wheel temperature"", ""communication delay""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,0.0,False,3,3,11.664,1834,"The rover is currently facing multiple hazards including elevated wheel slip, rising actuator temperature, low battery level, and a high terrain slope. These factors combined with the communication delay present a high risk to the rover's safety and mission objectives. The safest course of action is to pause the rover's movement to allow the actuators to cool down and to conduct a diagnostic check on the wheel systems. This will help prevent mechanical failure and ensure the rover's safety. Additionally, the battery level should be stabilized by maximizing solar panel exposure before proceeding further. This approach balances the need to preserve mission value with the imperative to maintain rover safety.",0.85
MR-003,1,multi_agent_orchestration,gpt-4o,pause,pause,True,"[""low battery""]","[""Low battery level"", ""Extended communication delay"", ""Elevated wheel temperature""]",1.0,0.0,0.0,0.0,0.333,1.0,0.5,2,0,1.0,True,1,1,9.091,1910,"The rover's battery level is critically low, posing a significant risk to its ability to perform the planned overnight atmospheric sampling sequence. The extended communication delay further complicates immediate intervention from Earth. Additionally, the wheel temperature is slightly elevated, which could lead to overheating if not monitored. Given these factors, it is safest to pause the current mission activities and enter a low-power state to conserve battery life. This will allow the rover to maintain critical systems until battery levels can be safely recharged. Monitoring the wheel temperature and preparing for communication delays are also essential. This approach balances the need to preserve the rover's operational integrity while minimizing risks.",0.95
MR-004,1,multi_agent_orchestration,gpt-4o,request_human_review,proceed,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""uneven terrain"", ""potential obstacles"", ""elevated wheel temperature"", ""communication delay""]",0.333,0.0,0.0,0.0,0.25,0.333,0.286,3,2,0.333,False,1,2,10.474,1917,"All specialist agents agree on proceeding with caution towards the science target, despite the presence of wheel-clearance warnings and elevated wheel temperature. The mission planner and risk agent both emphasize the importance of monitoring the terrain and wheel temperature closely, while the telemetry agent suggests evaluating alternative routes to minimize risk. Given the medium risk level and the importance of the science objective, proceeding with caution while actively monitoring the situation is the safest action that preserves mission value. Communication delays are noted, but they do not critically impact the decision to proceed.",0.85
MR-005,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]","[""sand ripples"", ""terrain slope"", ""communication delay"", ""elevated wheel temperature""]",0.5,0.25,0.5,0.333,0.25,0.5,0.333,3,1,0.5,False,1,2,8.801,1835,"All specialist agents agree on taking the longer route to avoid sand ripples, which is the primary hazard. The battery level is sufficient for this route, and the communication delay is manageable. Monitoring the wheel temperature and battery levels is crucial to ensure the rover's safety and mission success. The terrain slope is moderate but manageable with the current plan. The consensus is to proceed with caution, ensuring all systems are monitored closely.",0.85
MR-006,1,multi_agent_orchestration,gpt-4o,pause,pause,True,"[""elevated radiation"", ""dust opacity""]","[""increased radiation"", ""dust storms"", ""reduced visibility"", ""communication delays"", ""moderate battery level""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0.0,False,3,2,9.325,1829,"All specialist agents have identified increased radiation and dust levels as significant hazards, with potential impacts on visibility and equipment performance. The communication delay and moderate battery level further complicate the situation. While the mission planner suggests proceeding with caution, the risk agent emphasizes energy conservation and monitoring radiation closely. Given the medium risk level and the potential for conditions to worsen, pausing operations to reassess and ensure all systems are optimized for these conditions is the safest course of action. This will allow for adjustments to be made to mitigate risks effectively.",0.85
MR-007,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""nearby dune margin""]","[""Moderate terrain slope (9 degrees)"", ""Elevated wheel temperature (47 degrees)""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,False,0,2,7.973,1830,"The mission planner and telemetry agents both recommend proceeding with the mission, citing stable conditions and a low risk level. However, the risk agent highlights a medium risk due to the moderate terrain slope and elevated wheel temperature. Given the importance of the science objective and the overall low risk of other factors such as radiation and battery level, proceeding with caution is the safest action. Monitoring the wheel temperature and terrain conditions closely will mitigate potential risks. The communication delay is standard and manageable with proper planning.",0.92
MR-008,1,multi_agent_orchestration,gpt-4o,request_human_review,proceed,False,"[""steep slope"", ""shadowed rocks"", ""wheel overheating"", ""uncertain exit route"", ""long communication delay""]","[""low terrain model confidence"", ""communication delay"", ""moderately steep terrain slope"", ""moderate battery level""]",0.2,0.0,0.0,0.0,0.25,0.2,0.222,3,4,0.2,False,2,1,11.777,1869,"The mission has high scientific value, and all specialists agree on proceeding with caution despite the risks. The primary hazards include low terrain model confidence, significant communication delays, and a moderately steep terrain slope. The risk agent highlights these as high risk, suggesting careful navigation and frequent status checks. Given the moderate battery level, operations should be monitored closely to ensure power is conserved. Autonomous navigation algorithms can help mitigate communication delays, and operations should be scheduled during optimal communication windows. The decision to proceed balances the scientific objectives with the identified risks, ensuring that safety measures are in place to manage potential hazards.",0.85
MR-009,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""minor pebble field""]","[""Communication delay of 8 minutes could impact real-time decision making."", ""Radiation level at 0.18 is within safe limits but should be monitored for fluctuations."", ""Terrain slope of 4 degrees is manageable but requires careful navigation to prevent slippage."", ""Wheel temperature at 39 degrees is within operational limits but should be monitored for overheating.""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0,False,2,2,8.811,1787,"The mission planner and telemetry agents both indicate low risk and recommend proceeding with the science objective, citing stable conditions and nominal steering loads. The risk agent highlights potential hazards such as communication delay, radiation levels, terrain slope, and wheel temperature, but these are within manageable limits. By implementing additional monitoring and communication protocols, the mission can proceed safely while maintaining mission value.",0.92
MR-010,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""nearby dune margin""]","[""communication delay"", ""terrain slope""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,False,0,2,7.778,1656,"All specialist agents agree that the current conditions are stable and the risks are low. The mission planner and risk agent both highlight the importance of capturing the panoramic image for geological analysis, and the telemetry agent confirms stable operational conditions. The detected hazards, such as communication delay and terrain slope, are typical and manageable within the current operational protocols. The battery level is sufficient, and the wheel temperature is within normal ranges, supporting the decision to proceed with the mission objective.",0.95
