scenario_id,run_id,architecture_type,model,expected_action,recommended_action,decision_correct,expected_hazards,detected_hazards,hazard_match_score,exact_hazard_precision,exact_hazard_recall,exact_hazard_f1,semantic_hazard_precision,semantic_hazard_recall,semantic_hazard_f1,hazard_false_positive_count,hazard_false_negative_count,canonical_hazard_coverage,canonical_hazards_all_detected,plausible_noncanonical_hazard_count,spurious_hazard_count,latency_seconds,token_usage,reasoning,confidence_score
MR-001,1,single_agent,gpt-4o,proceed,proceed,True,"[""minor pebble field""]",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,False,0,0,4.275,495,"The current mission scenario presents a low-risk environment for the rover. The battery level is high at 82%, ensuring sufficient power for continued operations. The communication delay of 11 minutes is typical for Mars missions and does not pose an immediate risk. The navigation cameras report stable footing, and the terrain is described as a compact regolith plain with scattered pebble fields, which the rover has successfully traversed before, as indicated by clear wheel tracks. The terrain slope of 7 degrees is manageable, and the wheel temperature is within normal operational limits at 41 degrees. Radiation levels are low at 0.21, posing no immediate threat to the rover's systems. The science objective to image layered sediment deposits is valuable and achievable under these conditions. Therefore, proceeding with the mission is recommended.",0.95
MR-001,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""minor pebble field""]","[""communication delay"", ""radiation exposure"", ""scattered pebble fields""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,False,1,2,10.693,2114,"The majority of specialist agents recommend proceeding with the mission, citing stable conditions, high power margin, and nominal thermal readings. The mission planner, telemetry, and terrain agents all assess the risk as low, with the terrain agent noting manageable terrain conditions. However, the risk agent highlights medium risk due to communication delay and radiation exposure, which requires increased monitoring. Given the overall low risk from most agents and the importance of the science objective, proceeding with caution and enhanced monitoring is the safest action that preserves mission value.",0.92
MR-002,1,single_agent,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""elevated wheel slip"", ""rising actuator temperature"", ""loose sand drift"", ""sloped terrain""]",0.333,0.0,0.0,0.0,0.25,0.333,0.286,3,2,0.333,False,3,0,2.248,458,"The current scenario presents multiple hazards that could jeopardize the rover's safety and mission continuity. The elevated wheel slip and rising actuator temperature indicate that the rover is struggling with traction and could potentially overheat or become immobilized. The loose sand drift and sloped terrain further increase the risk of getting stuck or tipping over. Given the current battery level of 34%, it is crucial to avoid unnecessary energy expenditure. Pausing allows for a reassessment of the situation and prevents potential damage while maintaining the option to reroute or request human intervention if necessary.",0.85
MR-002,1,multi_agent_orchestration,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""elevated wheel slip"", ""rising actuator temperature"", ""low battery level"", ""high terrain slope"", ""increased wheel temperature""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0.0,False,3,2,13.896,2361,"The rover is currently facing multiple hazards including elevated wheel slip, rising actuator temperature, and a high terrain slope, all of which are compounded by a low battery level and a significant communication delay. The risk agent and terrain agent both highlight the high risk associated with continuing on the current path due to mechanical stress and potential for tipping. Pausing operations will allow for actuator cooling and battery conservation, reducing the immediate risk to the rover while allowing time to assess alternative routes or strategies to safely reach the science objective.",0.85
MR-003,1,single_agent,gpt-4o,pause,pause,True,"[""low battery""]","[""low battery level""]",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1.0,True,0,0,2.621,428,"The battery level is critically low at 19%, which is below the reserve threshold. This poses a significant risk to the rover's ability to maintain essential functions and communicate effectively, especially with a 9-minute communication delay. Although the terrain is flat and the wheel temperature is within operational limits, the priority should be to conserve power to ensure the rover can continue its mission and maintain communication with Earth. Pausing the current operations will allow the battery to conserve energy, reducing the risk of the rover becoming inoperable.",0.95
MR-003,1,multi_agent_orchestration,gpt-4o,pause,pause,True,"[""low battery""]","[""Low battery level"", ""Extended instrument warmup"", ""Potential communication blackout"", ""Communication delay"", ""Elevated wheel temperature""]",1.0,0.0,0.0,0.0,0.2,1.0,0.333,4,0,1.0,True,1,3,10.426,2269,"The consensus among the specialist agents indicates that the rover's battery level is critically low, posing a significant risk to mission operations. The extended instrument warmup has further depleted the battery, and the communication delay complicates timely decision-making. While the terrain is manageable, the elevated wheel temperature requires monitoring. To ensure the rover's safety and preserve mission value, it is prudent to pause the current science objective, initiate power-saving protocols, and prioritize recharging the battery during the next solar charging window. This action mitigates the risk of complete power loss and allows for reassessment once the battery is stabilized.",0.95
MR-004,1,single_agent,gpt-4o,request_human_review,pause,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""wheel-clearance warnings"", ""sharp embedded rocks"", ""narrow passable channels""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.0,False,3,0,2.259,443,"The mission log indicates multiple wheel-clearance warnings, which suggest potential risks to the rover's mobility and safety. The terrain is described as fractured bedrock with sharp embedded rocks and narrow channels, increasing the likelihood of wheel damage or getting stuck. Although the science objective is high-priority, the current conditions present a high risk to the rover's safety. Pausing allows for a more detailed assessment of the terrain and potential hazards, ensuring the rover's safety and mission continuity.",0.85
MR-004,1,multi_agent_orchestration,gpt-4o,request_human_review,proceed,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""wheel-clearance warnings"", ""potentially uneven terrain"", ""11-degree terrain slope"", ""communication delay"", ""sharp embedded rocks"", ""narrow passable channels"", ""fractured bedrock"", ""elevated wheel temperature""]",0.333,0.0,0.0,0.0,0.125,0.333,0.182,7,2,0.333,False,5,2,12.373,2321,"All specialist agents agree on the presence of wheel-clearance warnings and the challenging terrain, which includes sharp rocks and narrow channels. The risk level is consistently assessed as medium, with the terrain agent noting a high risk due to the terrain's complexity. However, the mission value of approaching the high-priority science target is significant. The consensus is to proceed with caution, leveraging Autonav and possibly remote operation to navigate safely. Monitoring wheel temperature and battery levels is crucial, and communication delays should be factored into decision-making. The recommendation to proceed aligns with the mission's objectives while maintaining safety protocols.",0.85
MR-005,1,single_agent,gpt-4o,reroute,reroute,True,"[""sand ripples"", ""moderate slope""]","[""sand ripples"", ""moderate slope""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,True,0,0,1.742,432,"The current path includes sand ripples which pose a risk to the rover's mobility. Although the battery level is sufficient for a longer route, the terrain slope of 14 degrees combined with sand ripples increases the risk of getting stuck. Rerouting to avoid the sand ripples by taking a longer but safer path along the bedrock bench will ensure mission continuity and rover safety while still achieving the science objective before local dusk.",0.85
MR-005,1,multi_agent_orchestration,gpt-4o,reroute,reroute,True,"[""sand ripples"", ""moderate slope""]","[""sand ripples"", ""terrain slope"", ""communication delay"", ""traction"", ""wheel-damage""]",0.5,0.2,0.5,0.286,0.2,0.5,0.286,4,1,0.5,False,1,3,10.446,2372,"All specialist agents agree on the presence of sand ripples as a significant hazard, which can be avoided by taking a longer route. The terrain agent specifically recommends using the bedrock bench route to minimize traction and wheel-damage risks. The mission planner, risk, and telemetry agents all suggest monitoring battery usage and communication delays, which are manageable given the current battery level of 61%. The terrain slope of 14 degrees is noted as manageable but requires caution. Given these considerations, rerouting to the bedrock bench is the safest option that still allows the rover to achieve its science objective of reaching the clay-bearing outcrop before local dusk.",0.85
