scenario_id,run_id,architecture_type,model,expected_action,recommended_action,decision_correct,expected_hazards,detected_hazards,hazard_match_score,exact_hazard_precision,exact_hazard_recall,exact_hazard_f1,semantic_hazard_precision,semantic_hazard_recall,semantic_hazard_f1,hazard_false_positive_count,hazard_false_negative_count,canonical_hazard_coverage,canonical_hazards_all_detected,plausible_noncanonical_hazard_count,spurious_hazard_count,latency_seconds,token_usage,reasoning,confidence_score
MR-001,1,single_agent,gpt-5.5,proceed,proceed,True,"[""minor pebble field""]","[""scattered pebble fields"", ""mild 7-degree terrain slope"", ""11-minute communication delay""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,False,1,2,5.488,482,"Rover safety indicators are favorable: battery level is high at 82%, wheel temperature is nominal at 41, radiation is low at 0.21, and navigation imagery reports stable footing with clear prior wheel tracks. The compact regolith plain and shallow slope present low mobility risk, while the science objective is nearby and valuable. No condition warrants pausing, rerouting, or human review.",0.94
MR-001,1,multi_agent_orchestration,gpt-5.5,proceed,proceed,True,"[""minor pebble field""]","[""11-minute communication delay limits real-time intervention and requires delayed-command planning"", ""Mild 7-degree slope near shallow ridge requires traction monitoring"", ""Scattered pebble fields may cause minor wheel vibration or localized slip"", ""Shallow ridge terrain may include minor loose sediment""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0,False,3,1,25.282,2565,"All specialist agents agree conditions are favorable and recommend proceeding. Battery level is high, wheel temperature and radiation are nominal, navigation imagery indicates stable footing, terrain slope is modest, and prior wheel tracks provide a safer path. The communication delay and minor terrain features are routine operational hazards, not sufficient to pause, reroute, or request human review. The safest mission-preserving action is to proceed using cautious standard approach protocols, follow existing wheel tracks where available, and maintain routine monitoring for slip, slope changes, thermal anomalies, or unstable surface indicators.",0.93
MR-002,1,single_agent,gpt-5.5,reroute,reroute,True,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""loose sand drift"", ""18-degree sloped crater rim"", ""visible slip marks"", ""recent elevated wheel slip"", ""rising actuator temperature"", ""wheel temperature at 68"", ""battery level at 34%"", ""14-minute communication delay""]",0.333,0.0,0.0,0.0,0.125,0.333,0.182,7,2,0.333,False,5,2,7.262,598,"Proceeding directly toward the crater rim presents a high mobility and thermal risk due to loose sand, slope, visible slip marks, recent wheel slip, and elevated wheel temperature. A pause may reduce temperature but would not address the terrain hazard, while human review is not yet necessary because a safer autonomous terrain choice is available. Rerouting best preserves rover safety and mission continuity while still supporting the imaging objective from a safer approach path.",0.86
MR-002,1,multi_agent_orchestration,gpt-5.5,reroute,request_human_review,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""elevated wheel slip indicating poor traction"", ""loose sand drift on an 18-degree crater-rim slope"", ""visible slip marks and risk of wheel sinkage or embedding"", ""rising actuator temperature and high wheel temperature at 68\u00b0C"", ""limited battery margin at 34% reducing recovery options"", ""14-minute communication delay limiting real-time intervention"", ""potential rollover, sliding, wheel wear, or mobility hardware stress if driving continues""]",0.333,0.0,0.0,0.0,0.143,0.333,0.2,6,2,0.333,False,4,2,40.554,3452,"All specialists agree that continuing autonomously toward the crater rim is unsafe due to combined traction, slope, thermal, and power-margin risks. The terrain and risk agents suggest eventual rerouting via lower-slope firmer ground, while telemetry emphasizes pausing for cooling and monitoring. The mission planner adds that the communication delay and degraded mobility indicators warrant ground review before resuming. The safest action that preserves mission value is to stop further autonomous traverse, enter a safe monitoring state, collect opportunistic terrain imagery if power/thermal limits allow, transmit diagnostics and imagery, and await human-approved reroute or retreat commands.",0.89
MR-003,1,single_agent,gpt-5.5,pause,pause,True,"[""low battery""]","[""battery below reserve threshold"", ""overnight sequence would further deplete power"", ""communication delay limits real-time intervention""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,False,2,1,6.89,527,"The rover is already below its reserve battery threshold at 19% following extended instrument warmup. Initiating an overnight atmospheric sampling sequence would create significant risk of power depletion and potential safe-mode entry. Terrain, slope, radiation, and wheel temperature are not currently concerning, so the primary hazard is energy availability. Pausing preserves mission continuity and allows recharge or replanning before attempting the science objective.",0.91
MR-003,1,multi_agent_orchestration,gpt-5.5,pause,pause,True,"[""low battery""]","[""Battery level at 19%, below reserve threshold"", ""Overnight atmospheric sampling would require extended power draw during low or zero solar generation"", ""Recent extended instrument warmup caused elevated energy consumption"", ""Reduced energy margin for thermal control, fault recovery, and safe-mode operations"", ""9-minute communication delay limits timely corrective intervention"", ""Mobility and terrain hazards are low, but any nonessential activity would further reduce recovery margin""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0.0,False,3,3,40.423,3063,"All specialist reports agree that the dominant risk is the below-reserve battery state, not terrain, radiation, or wheel temperature. The flat 4-degree basaltic terrain has low obstacle density, so rerouting is not relevant. Proceeding with the overnight atmospheric sampling sequence would impose prolonged power demand when recharge is unavailable and could compromise rover survivability. The safest mission-preserving action is to pause the science sequence, suspend nonessential instruments and mobility, transmit updated status telemetry, and prioritize recharge. Human review should occur before any later shortened or low-power sampling attempt, but the immediate recommended operational action is pause.",0.93
MR-004,1,single_agent,gpt-5.5,request_human_review,reroute,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""multiple wheel-clearance warnings"", ""fractured bedrock"", ""sharp embedded rocks"", ""narrow passable channels"", ""moderate terrain slope""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0.0,False,4,1,5.216,521,"The science target is high priority and battery level is sufficient, but multiple wheel-clearance warnings in fractured terrain with sharp embedded rocks create a significant mobility and wheel-damage risk. A reroute preserves mission continuity and science value while reducing the chance of becoming immobilized or damaging the wheels.",0.86
MR-004,1,multi_agent_orchestration,gpt-5.5,request_human_review,request_human_review,True,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""Multiple wheel-clearance warnings near high-priority science target"", ""Fractured bedrock with sharp embedded rocks and narrow passable channels"", ""Potential wheel, suspension, or undercarriage damage from protruding rocks and clearance constraints"", ""Moderate 11-degree slope increasing slip risk in constrained terrain"", ""Obstacle entrapment risk if wheels drop into fractures or between rock plates"", ""Elevated wheel temperature indicating possible drivetrain stress"", ""21-minute communication delay limiting real-time intervention"", ""Moderate battery reserve limiting recovery margin if mobility is compromised""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,0.0,False,4,4,44.647,3670,"Specialist assessments consistently identify high mobility risk from repeated clearance warnings, sharp fractured terrain, narrow channels, and elevated wheel temperature. The terrain agent allows cautious low-speed progress, but this conflicts with the broader risk, telemetry, and mission planning recommendations to stop before entering the warning zone. Because the science target is valuable but not worth risking wheel damage or entrapment, the safest mission-preserving decision is to halt autonomous close approach, acquire and downlink additional HazCam/NavCam and clearance data, and have the ground team select either a safer route or a standoff spectrometer strategy before further movement.",0.87
MR-005,1,single_agent,gpt-5.5,reroute,reroute,True,"[""sand ripples"", ""moderate slope""]","[""rippled sand patches with potential wheel slip or entrapment"", ""moderately sloped terrain"", ""time constraint before local dusk""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0.0,False,3,0,5.226,545,"The primary hazard is avoidable rippled sand adjacent to a safer bedrock bench. Battery level is sufficient to support a longer delayed traverse, and radiation and wheel temperature are not at critical levels. Rerouting preserves rover safety and mission continuity while still supporting the science objective of reaching the clay-bearing outcrop before dusk.",0.9
MR-005,1,multi_agent_orchestration,gpt-5.5,reroute,reroute,True,"[""sand ripples"", ""moderate slope""]","[""rippled sand patches with reduced traction and possible wheel sinkage"", ""moderate 14-degree slope increasing slip or rollback risk"", ""bedrock-sand boundary transitions that could stress wheels"", ""approaching local dusk reducing traverse margin"", ""12-minute communication delay limiting real-time intervention"", ""elevated but non-critical wheel temperature"", ""additional energy demand from longer delayed traverse""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,0.0,False,4,3,31.331,3034,"All specialist reports agree that the rover should avoid the sand ripples and that the safer bedrock bench is available. Although several agents phrase the recommendation as proceeding, the safest mission-preserving interpretation is to reroute onto the longer bedrock path rather than continue directly through or near the rippled sand. Battery at 61% supports the delayed traverse, radiation is low, and wheel temperature is elevated but not critical. The combined risks from slope, traction uncertainty, communication delay, dusk timing, and extra energy use warrant conservative speed, slip and tilt monitoring, wheel-temperature checks, and battery reserve checkpoints, but do not require pausing or human review unless margins degrade.",0.86
