scenario_id,run_id,architecture_type,model,expected_action,recommended_action,decision_correct,expected_hazards,detected_hazards,hazard_match_score,exact_hazard_precision,exact_hazard_recall,exact_hazard_f1,semantic_hazard_precision,semantic_hazard_recall,semantic_hazard_f1,hazard_false_positive_count,hazard_false_negative_count,canonical_hazard_coverage,canonical_hazards_all_detected,plausible_noncanonical_hazard_count,spurious_hazard_count,latency_seconds,token_usage,reasoning,confidence_score
MR-001,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""minor pebble field""]","[""scattered pebble fields""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,False,1,0,7.523,1601,"All specialist agents agree that the rover is in a stable condition with sufficient power, nominal thermal readings, and low radiation levels. The terrain is manageable with existing wheel tracks and a gentle slope. The only detected hazard is scattered pebble fields, which can be navigated with caution. Given the low risk level and the alignment of recommendations from all agents, proceeding with the mission objective of imaging the sediment deposits is the safest action that preserves mission value.",0.95
MR-002,1,multi_agent_orchestration,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""elevated wheel slip"", ""rising actuator temperature"", ""loose sand"", ""slope""]",0.667,0.25,0.333,0.286,0.5,0.667,0.571,2,1,0.667,False,2,0,8.22,1705,"All specialist agents have identified elevated wheel slip and rising actuator temperature as significant hazards. The terrain agent also highlights the loose sand and slope as additional risks. Given the medium risk level and the potential for mechanical stress, pausing the rover's movement is the safest action. This allows the actuators to cool down and provides an opportunity to reassess the terrain and consider alternative routes if necessary. The communication delay and battery level also warrant caution to ensure the rover's safety and mission success.",0.85
MR-003,1,multi_agent_orchestration,gpt-4o,pause,pause,True,"[""low battery""]","[""Low battery level"", ""Extended communication delay""]",1.0,0.0,0.0,0.0,0.5,1.0,0.667,1,0,1.0,True,1,0,8.5,1685,"All specialist agents agree that the rover's battery level is critically low, which poses a significant risk to the mission. The communication delay further complicates the situation, making immediate intervention from Earth challenging. The mission planner and telemetry agents both recommend conserving power by aborting non-essential operations, including the planned overnight atmospheric sampling sequence. The terrain agent also highlights the need to prioritize battery conservation. Given the critical risk level and the consensus among agents, the safest action is to pause the current mission activities and enter a low-power state to preserve essential functions until battery levels can be safely recharged or further instructions are received from mission control.",0.95
MR-004,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""uneven terrain"", ""potential obstacles"", ""wheel-clearance warnings"", ""elevated wheel temperature"", ""sharp embedded rocks"", ""narrow passable channels""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,0.0,False,4,2,7.441,1751,"The combined reports from the mission planner, telemetry, and terrain agents indicate a high-risk scenario due to uneven terrain, potential obstacles, and elevated wheel temperature. The terrain is described as fractured bedrock with sharp embedded rocks and narrow channels, which poses significant challenges for navigation. Although the mission planner and telemetry agents suggest proceeding with caution, the terrain agent highlights a high risk of wheel damage. Given the communication delay and the importance of preserving the rover's operational integrity, it is safest to pause and conduct a detailed terrain analysis using onboard sensors. This will allow for a more informed decision on whether to proceed or reroute, minimizing the risk of damage to the rover.",0.85
MR-005,1,multi_agent_orchestration,gpt-4o,reroute,reroute,True,"[""sand ripples"", ""moderate slope""]","[""sand ripples"", ""slope"", ""traction"", ""wheel-damage"", ""communication delay""]",1.0,0.2,0.5,0.286,0.4,1.0,0.571,3,0,1.0,True,0,3,9.767,1806,"All specialist agents agree on the presence of sand ripples as a hazard and recommend avoiding them by taking a longer route. The terrain agent highlights the risk of traction and wheel damage on the rippled sand, suggesting the bedrock bench as a safer alternative. The mission planner and telemetry agents both emphasize the importance of monitoring battery usage and communication delays. Given the medium risk level and the need to preserve the rover's operational integrity, rerouting to the bedrock bench is the safest option that still allows the mission to achieve its science objective before local dusk.",0.85
MR-006,1,multi_agent_orchestration,gpt-4o,pause,pause,True,"[""elevated radiation"", ""dust opacity""]","[""increased radiation"", ""dust storms"", ""reduced visibility"", ""dust accumulation"", ""communication delay"", ""decreased traction"", ""potential dust accumulation on sensors""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,0.0,False,5,2,9.426,1678,"All specialist agents report medium risk due to increased radiation, dust storms, and reduced visibility. These conditions pose a threat to the rover's operational capabilities, particularly the camera deployment and communication efficiency. While the terrain is stable, the environmental conditions suggest a pause to reassess and ensure the safety of the rover's systems. This action will allow for monitoring of radiation and dust levels, and to wait for potential improvement in visibility before proceeding with the science objective.",0.85
MR-007,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""nearby dune margin""]","[""slope""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,False,0,1,7.676,1608,"The mission planner and telemetry agents both report low risk and recommend proceeding with the mission as planned. The terrain agent identifies a medium risk due to the slope, advising caution. Given the hard-packed terrain and absence of recent slip events, the overall risk is manageable. The rover should proceed with the mission, maintaining a safe distance from the dunes and monitoring for any changes in slope or traction.",0.92
MR-008,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""steep slope"", ""shadowed rocks"", ""wheel overheating"", ""uncertain exit route"", ""long communication delay""]","[""low terrain model confidence"", ""communication delay"", ""steep cross-slope"", ""shadowed rocks"", ""narrow gully entrance"", ""uncertain exit route""]",0.6,0.333,0.4,0.364,0.5,0.6,0.545,3,2,0.6,False,3,0,8.864,1877,"The scenario presents a high-risk situation due to multiple detected hazards, including low terrain model confidence, significant communication delays, and challenging terrain features such as steep slopes and shadowed rocks. While the science objective is of high value, the combination of these factors increases the risk of potential damage to the rover. The mission planner and telemetry agents both recommend proceeding with caution, but the terrain agent highlights a high risk level. Given the high risk and the importance of preserving the rover's operational integrity, it is safest to pause operations temporarily. This will allow for further assessment of the terrain and consideration of alternative routes or additional data collection to improve terrain model confidence. Monitoring battery usage and ensuring sufficient power for safe operations is also crucial.",0.78
MR-009,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""minor pebble field""]","[""pebble clusters"", ""shallow wheel ruts""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,False,2,0,6.921,1556,"All specialist agents report low risk and recommend proceeding with the planned multispectral imagery acquisition. The terrain is stable with minor obstacles that have been safely navigated before. The rover's systems are operating within normal parameters, and the communication delay is manageable. Given the low risk and high confidence scores from all agents, proceeding with the mission objective is the safest action that preserves mission value.",0.95
MR-010,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""nearby dune margin""]","[""slope""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,False,0,1,8.479,1608,"All specialist agents report stable conditions with low risk levels. The mission planner and telemetry agents confirm that the rover's systems are operating normally, with sufficient battery and no critical issues. The terrain agent notes a gentle slope but considers it a minimal hazard. The science objective of capturing a context panorama is crucial for geological analysis, and the current conditions support proceeding with this task.",0.95
