scenario_id,run_id,architecture_type,model,expected_action,recommended_action,decision_correct,expected_hazards,detected_hazards,hazard_match_score,exact_hazard_precision,exact_hazard_recall,exact_hazard_f1,semantic_hazard_precision,semantic_hazard_recall,semantic_hazard_f1,hazard_false_positive_count,hazard_false_negative_count,canonical_hazard_coverage,canonical_hazards_all_detected,plausible_noncanonical_hazard_count,spurious_hazard_count,latency_seconds,token_usage,reasoning,confidence_score
MR-002,1,multi_agent_orchestration,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""elevated wheel slip"", ""rising actuator temperature"", ""low battery level"", ""high terrain slope"", ""increased wheel temperature"", ""communication delay""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,False,3.0,3.0,11.664,1834.0,"The rover is currently facing multiple hazards including elevated wheel slip, rising actuator temperature, low battery level, and a high terrain slope. These factors combined with the communication delay present a high risk to the rover's safety and mission objectives. The safest course of action is to pause the rover's movement to allow the actuators to cool down and to conduct a diagnostic check on the wheel systems. This will help prevent mechanical failure and ensure the rover's safety. Additionally, the battery level should be stabilized by maximizing solar panel exposure before proceeding further. This approach balances the need to preserve mission value with the imperative to maintain rover safety.",0.85
MR-004,1,multi_agent_orchestration,gpt-4o,request_human_review,proceed,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""uneven terrain"", ""potential obstacles"", ""elevated wheel temperature"", ""communication delay""]",0.333,0.0,0.0,0.0,0.25,0.333,0.286,3.0,2.0,0.333,False,1.0,2.0,10.474,1917.0,"All specialist agents agree on proceeding with caution towards the science target, despite the presence of wheel-clearance warnings and elevated wheel temperature. The mission planner and risk agent both emphasize the importance of monitoring the terrain and wheel temperature closely, while the telemetry agent suggests evaluating alternative routes to minimize risk. Given the medium risk level and the importance of the science objective, proceeding with caution while actively monitoring the situation is the safest action that preserves mission value. Communication delays are noted, but they do not critically impact the decision to proceed.",0.85
MR-005,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]","[""sand ripples"", ""terrain slope"", ""communication delay"", ""elevated wheel temperature""]",0.5,0.25,0.5,0.333,0.25,0.5,0.333,3.0,1.0,0.5,False,1.0,2.0,8.801,1835.0,"All specialist agents agree on taking the longer route to avoid sand ripples, which is the primary hazard. The battery level is sufficient for this route, and the communication delay is manageable. Monitoring the wheel temperature and battery levels is crucial to ensure the rover's safety and mission success. The terrain slope is moderate but manageable with the current plan. The consensus is to proceed with caution, ensuring all systems are monitored closely.",0.85
MR-008,1,multi_agent_orchestration,gpt-4o,request_human_review,proceed,False,"[""steep slope"", ""shadowed rocks"", ""wheel overheating"", ""uncertain exit route"", ""long communication delay""]","[""low terrain model confidence"", ""communication delay"", ""moderately steep terrain slope"", ""moderate battery level""]",0.2,0.0,0.0,0.0,0.25,0.2,0.222,3.0,4.0,0.2,False,2.0,1.0,11.777,1869.0,"The mission has high scientific value, and all specialists agree on proceeding with caution despite the risks. The primary hazards include low terrain model confidence, significant communication delays, and a moderately steep terrain slope. The risk agent highlights these as high risk, suggesting careful navigation and frequent status checks. Given the moderate battery level, operations should be monitored closely to ensure power is conserved. Autonomous navigation algorithms can help mitigate communication delays, and operations should be scheduled during optimal communication windows. The decision to proceed balances the scientific objectives with the identified risks, ensuring that safety measures are in place to manage potential hazards.",0.85
MR-032,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""loose sand"", ""steep slope""]","[""unstable terrain"", ""potential obstacles"", ""intermittent slip spikes"", ""moderate terrain slope"", ""communication delay"", ""elevated wheel temperature"", ""moderate battery level""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,False,1.0,6.0,8.798,1904.0,"All specialist agents agree on proceeding with caution, highlighting the need to adjust the rover's path to avoid areas with high slip potential. The detected hazards include unstable terrain, potential obstacles, and intermittent slip spikes, which are manageable with careful navigation. The battery level, communication delay, and wheel temperature are within acceptable limits for continued operation. The science objective is critical, and the risks are assessed as medium, with a high confidence score from all agents. Therefore, proceeding with caution while monitoring the situation closely is the safest action that preserves mission value.",0.85
MR-033,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]","[""uneven terrain"", ""potential dust accumulation"", ""moderate terrain slope"", ""elevated wheel temperature"", ""communication delay"", ""moderate battery level""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,False,0.0,6.0,9.216,1985.0,"All specialist agents agree on proceeding with the planned path, emphasizing the importance of monitoring wheel temperature and battery levels. The mission planner has identified a safer route with improved traction, which mitigates the risks associated with uneven terrain and moderate slope. The communication delay requires the rover's autonomous systems to be prepared for unexpected obstacles, but the current battery level is sufficient for the operation. Radiation levels are within safe limits, and the wheel temperature, while elevated, is not critical. The science objective is high-priority, and the safer path supports mission success while managing risks effectively.",0.85
MR-036,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""wheel overheating"", ""loose sand"", ""steep slope""]","[""intermittent slip spikes"", ""potential terrain instability"", ""significant terrain slope"", ""elevated wheel temperature""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,False,1.0,3.0,9.322,1856.0,"All specialist agents agree on the presence of intermittent slip spikes and potential terrain instability, with the risk level assessed as medium. The mission planner and risk agent both recommend proceeding with caution, adjusting the rover's path to avoid high slip risk areas, and monitoring wheel temperature. The telemetry agent suggests conducting a detailed terrain analysis, which aligns with the cautious approach. Given the moderate battery level and typical communication delay, proceeding with caution while maintaining regular updates and monitoring is the safest action that preserves mission value.",0.85
MR-037,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""dust-covered ground"", ""unstable edge""]","[""uneven terrain"", ""potential dust storms"", ""terrain slope"", ""communication delay"", ""elevated wheel temperature""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,False,0.0,5.0,11.036,1953.0,"All specialist agents agree that the current path is safe to proceed with, given the proactive measures in place for monitoring and handling potential risks. The mission planner and risk agent both highlight the importance of continuous monitoring of wheel temperature and battery levels, as well as the need to be prepared for potential dust storms. The telemetry agent confirms that current operational parameters are within safe limits. The communication delay is a known factor and is being managed effectively. The scientific objective of accessing sulfate-bearing rocks is of high value, and the planned path offers improved traction and safety.",0.85
MR-040,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""traction loss risk"", ""embedded rocks""]","[""terrain instability"", ""loose surface material"", ""intermittent slip spikes"", ""moderate terrain slope"", ""communication delay""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,False,1.0,4.0,8.195,1794.0,"All specialist agents agree on a medium risk level due to intermittent slip spikes and moderate terrain slope, which suggest potential terrain instability and loose surface material. The communication delay is noted but not critical. The battery level is sufficient, and wheel temperatures are within operational limits. Adjusting the rover's path to avoid high slip areas and monitoring key parameters closely will mitigate risks while allowing the mission to proceed towards the science objective.",0.85
MR-041,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""soft shoulder"", ""cross-slope hazard""]","[""uneven terrain"", ""potential dust accumulation"", ""moderate terrain slope"", ""elevated wheel temperature"", ""communication delay"", ""moderate battery level""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,False,2.0,4.0,7.376,1859.0,"All specialist agents agree on proceeding with the identified safer path, which offers better traction and ensures rover stability. The detected hazards, such as uneven terrain and moderate slope, are acknowledged but considered manageable with close monitoring of wheel temperature and battery levels. The communication delay is noted, but protocols are in place to handle it effectively. The battery level is sufficient for the operation, and radiation levels are within safe limits. The consensus is to proceed while maintaining vigilance over the identified risks.",0.85
MR-045,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]","[""uneven terrain"", ""potential dust accumulation"", ""terrain slope"", ""communication delay"", ""elevated wheel temperature""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,False,0.0,5.0,13.242,2033.0,"The mission planner and risk agent both recommend proceeding with the identified safer path, which offers improved traction and reduces the risk of slippage or getting stuck. The telemetry agent confirms that the current operational parameters, including battery level and wheel temperature, are within safe limits. Although there are detected hazards such as uneven terrain and a moderate slope, these are mitigated by the chosen path. The communication delay is typical and manageable with current protocols. Continuous monitoring of wheel temperature and battery levels is advised to ensure safety.",0.85
MR-048,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""wheel overheating"", ""loose sand"", ""steep slope""]","[""unstable terrain"", ""potential wheel slippage"", ""intermittent slip spikes"", ""elevated wheel temperature"", ""communication delay"", ""moderate battery level""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,False,2.0,4.0,20.385,1751.0,"All specialist agents agree on proceeding with caution, highlighting the need to monitor slip spikes and wheel temperature closely. The terrain is described as unstable with a 12-degree slope, which poses a medium risk. The battery level is moderate, and communication delays are manageable. The mission value of approaching the sediment fan for imaging and sampling is high, and the risks can be mitigated by reducing speed, enabling slip detection algorithms, and adjusting the driving strategy if necessary.",0.85
MR-049,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""dust-covered ground"", ""unstable edge""]","[""uneven terrain"", ""loose soil patches"", ""moderate terrain slope"", ""communication delay"", ""wheel temperature"", ""moderate battery level""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,False,0.0,6.0,9.013,1826.0,"All specialist agents agree on the medium risk level and recommend proceeding with the mission using the identified safer path. This path minimizes risks associated with uneven terrain and loose soil, which are the primary hazards. The communication delay and moderate battery level are within manageable limits, and continuous monitoring is advised. The wheel temperature is stable, and radiation levels are safe. The mission's scientific objective is of high value, and the proactive choice of a safer path aligns with risk management strategies.",0.85
MR-053,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""soft shoulder"", ""cross-slope hazard""]","[""uneven terrain"", ""potential dust accumulation"", ""moderate terrain slope"", ""communication delay"", ""elevated wheel temperature"", ""moderate battery level""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,False,2.0,4.0,8.77,1873.0,"All specialist agents agree on proceeding with the mission using the identified safer path, which offers better traction and stability. The main concerns are the moderate terrain slope, communication delay, and elevated wheel temperature. However, these risks are manageable with continuous monitoring. The battery level is sufficient for the current operation, but it should be monitored closely. The communication delay is acknowledged, and protocols should be in place to handle it effectively. The decision to proceed aligns with the mission objective of positioning the rover for arm deployment near a layered outcrop, which is crucial for scientific analysis.",0.85
MR-054,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""wheel overheating"", ""loose sand"", ""steep slope""]","[""increased terrain risk"", ""steep terrain slope"", ""moderate battery level"", ""communication delay""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,False,2.0,2.0,8.39,1991.0,"All specialist agents agree on a medium risk level, primarily due to the increased terrain risk along the shortest route, the steep terrain slope, and the moderate battery level. The communication delay is typical for Mars missions and is manageable with autonomous systems. The mission objective is to approach a sediment fan for imaging and sampling, which is crucial for the mission's scientific goals. The rover's systems, including wheel currents and temperatures, are currently within acceptable limits. Proceeding with caution allows the mission to continue while maintaining safety by monitoring conditions closely and being prepared to reroute if necessary.",0.85
MR-078,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""Low battery level"", ""Communication delay"", ""Wheel-clearance concerns"", ""Steep terrain slope"", ""Elevated wheel temperature""]",0.333,0.0,0.0,0.0,0.2,0.333,0.25,4.0,2.0,0.333,False,2.0,2.0,10.134,2120.0,"The combined reports from the mission planner, risk, and telemetry agents highlight significant operational risks, including low battery levels, communication delays, wheel-clearance issues, steep terrain, and elevated wheel temperatures. The risk agent's assessment of a high risk level, due to the combination of these factors, suggests that proceeding without addressing these concerns could jeopardize the rover's safety and mission success. Pausing operations will allow for battery conservation, detailed assessment of the terrain, and monitoring of wheel temperatures, reducing the risk of mechanical failure and ensuring the rover's ability to safely continue its mission once conditions are more favorable.",0.85
MR-079,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""steep slope"", ""uncertain exit route"", ""shadowed rocks""]","[""partially shadowed terrain"", ""communication delay"", ""battery level below 50%"", ""terrain slope of 12 degrees"", ""elevated wheel temperature""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,False,1.0,4.0,12.184,1964.0,"The mission presents several medium-level risks, including a moderate battery level at 43%, a significant communication delay of 19 minutes, and challenging terrain with a 12-degree slope. Additionally, the wheel temperature is elevated at 54°C, which could lead to overheating if not managed properly. While the scientific objective holds high value, the combination of these risks suggests that a pause is prudent to allow for a thorough review of the terrain, communication protocols, and energy management strategies. This will ensure that the mission can proceed safely and effectively, minimizing the risk of mission failure or damage to the rover.",0.85
MR-080,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""terrain model uncertainty"", ""blind turn"", ""limited escape path""]","[""Low battery level"", ""Communication delay"", ""Steep terrain slope"", ""Elevated wheel temperature""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,False,2.0,2.0,8.704,2006.0,"The scenario presents multiple high-risk factors, including a low battery level, communication delay, steep terrain, and elevated wheel temperature. While the mission planner suggests proceeding with caution, the risk agent highlights the potential for mechanical strain and overheating, which could jeopardize the rover's safety. Given the high risk level and the importance of preserving the rover's operational integrity, it is prudent to pause operations temporarily. This will allow for a reassessment of the situation, monitoring of wheel temperatures, and potential rerouting to safer terrain if necessary. Pausing also provides an opportunity to conserve battery life and mitigate the impact of communication delays.",0.85
MR-081,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""sharp ejecta blocks"", ""long communication delay"", ""cross-slope hazard""]","[""disagreement on entry angle"", ""communication delay"", ""moderately low battery level"", ""steep terrain slope"", ""elevated wheel temperature""]",0.333,0.0,0.0,0.0,0.2,0.333,0.25,4.0,2.0,0.333,False,1.0,3.0,14.375,2188.0,"The scenario presents several medium-level risks that need to be addressed before proceeding. The disagreement on the entry angle into the target zone is a significant concern, as it could lead to navigation errors. The communication delay of 21 minutes complicates real-time decision-making, which is critical given the current uncertainties. Additionally, the moderately low battery level and elevated wheel temperature suggest that the rover's operational capacity could be compromised if not managed carefully. The steep terrain slope further increases the risk of slippage or tipping. Given these factors, it is prudent to pause operations to resolve the entry angle discrepancy, ensure all systems are optimized for the current conditions, and wait for a communication window to confirm decisions with mission control. This approach minimizes risk while preserving mission value.",0.85
