scenario_id,architecture_type,runs,expected_action,modal_recommended_action,decision_accuracy,mean_exact_hazard_f1,mean_semantic_hazard_f1,mean_hazard_false_positive_count,mean_hazard_false_negative_count,mean_canonical_hazard_coverage,mean_plausible_noncanonical_hazard_count,mean_spurious_hazard_count,mean_latency_seconds,mean_token_usage,mean_confidence_score
MR-001,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.6,1.0,0.0,1.0,2.6,8.688,1675.8,0.92
MR-002,multi_agent_orchestration,5,reroute,pause,0.0,0.089,0.178,5.4,2.2,0.266,2.4,3.0,12.289,1886.4,0.854
MR-003,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.467,2.4,0.0,1.0,1.0,1.4,9.392,1782.2,0.94
MR-004,multi_agent_orchestration,5,request_human_review,pause,0.4,0.0,0.036,7.0,2.8,0.067,4.8,2.2,10.14,1904.0,0.85
MR-005,multi_agent_orchestration,5,reroute,reroute,0.6,0.283,0.283,4.2,1.0,0.5,1.0,3.2,9.335,1921.2,0.85
MR-006,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,7.0,2.0,0.0,4.2,2.8,13.142,1873.6,0.85
MR-007,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.4,1.0,0.0,0.0,3.4,8.249,1696.0,0.888
MR-008,multi_agent_orchestration,5,request_human_review,pause,0.0,0.341,0.512,3.8,2.0,0.6,2.8,1.0,9.712,1921.2,0.85
MR-009,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.4,1.0,0.0,2.0,2.4,8.366,1695.6,0.932
MR-010,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.0,1.0,0.0,0.4,2.6,8.115,1674.2,0.944
MR-011,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.8,1.0,0.0,2.0,2.8,9.774,1781.0,0.88
MR-012,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,6.6,1.0,0.0,3.2,3.4,10.266,1819.6,0.88
