scenario_id,run_id,architecture_type,model,expected_action,recommended_action,decision_correct,expected_hazards,detected_hazards,hazard_match_score,exact_hazard_precision,exact_hazard_recall,exact_hazard_f1,semantic_hazard_precision,semantic_hazard_recall,semantic_hazard_f1,hazard_false_positive_count,hazard_false_negative_count,canonical_hazard_coverage,canonical_hazards_all_detected,plausible_noncanonical_hazard_count,spurious_hazard_count,latency_seconds,token_usage,reasoning,confidence_score
MR-002,1,multi_agent_orchestration,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""Low battery level"", ""Elevated wheel slip"", ""Rising actuator temperature"", ""Steep terrain slope"", ""Communication delay""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,False,2.0,3.0,13.725,1905.0,"Given the high risk level identified by both the risk and terrain agents, and the medium risk level from the telemetry agent, the safest course of action is to pause the rover. This will allow for battery conservation, reduce mechanical stress, and provide time to monitor and address the elevated wheel slip and actuator temperature. The steep terrain and communication delay further justify a cautious approach. Pausing will also allow for a reassessment of conditions and potential rerouting if necessary.",0.85
MR-004,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""Wheel clearance warnings"", ""Moderate terrain slope"", ""Elevated wheel temperature"", ""Sharp embedded rocks"", ""Narrow passable channels"", ""Fractured bedrock""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,False,5.0,1.0,11.52,1823.0,"The combined reports from the risk, telemetry, and terrain agents indicate a high-risk scenario due to multiple hazards including wheel clearance issues, elevated wheel temperature, and challenging terrain with sharp rocks and narrow channels. While the science objective is important, the safety of the rover must be prioritized. The elevated wheel temperature and potential for wheel damage from sharp rocks necessitate a pause in operations to conduct a detailed terrain analysis and assess the situation further. This will allow for a safer approach to the science target while minimizing the risk of damage to the rover.",0.85
MR-008,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""steep slope"", ""shadowed rocks"", ""wheel overheating"", ""uncertain exit route"", ""long communication delay""]","[""steep terrain slope"", ""communication delay"", ""low terrain model confidence"", ""steep cross-slope"", ""shadowed rocks"", ""uncertain exit route""]",0.6,0.333,0.4,0.364,0.5,0.6,0.545,3.0,2.0,0.6,False,3.0,0.0,8.272,1885.0,"The scenario presents several high-risk factors including a steep terrain slope, low terrain model confidence, and significant communication delays. The terrain agent highlights additional hazards such as shadowed rocks and an uncertain exit route, which could further complicate navigation. While the science objective is of high value, the combination of these risks suggests that proceeding without further assessment could jeopardize the rover's safety. Pausing operations allows for a reassessment of the terrain and communication conditions, potentially identifying a safer path or waiting for improved communication windows. This approach balances mission value with the need to ensure the rover's safety.",0.82
MR-033,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]","[""moderate terrain slope"", ""communication delay"", ""radiation exposure"", ""rippled drift field"", ""potential for reduced traction""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,False,3.0,2.0,9.0,1753.0,"The rover is currently navigating a terrain with a moderate slope and has opted for a safer path with better traction, as identified by the mission planner. The battery level is above half, and the wheel temperature is within operational limits. While there is a communication delay and moderate radiation exposure, these are being monitored and are within acceptable limits. The terrain agent suggests using the bedrock shoulder path to minimize traction issues, which aligns with the mission log's identification of a safer path. Given the proactive risk management and the current operational status, proceeding with the mission while closely monitoring the identified hazards is the safest action that preserves mission value.",0.85
MR-037,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""dust-covered ground"", ""unstable edge""]","[""terrain slope"", ""communication delay"", ""elevated wheel temperature"", ""traction hazard""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,False,1.0,3.0,9.317,1935.0,"The rover is navigating a terrain with a moderate slope of 17 degrees, which poses a risk of slippage. However, the planned path offers improved traction, and the battery level is sufficient for continued operations. The communication delay of 15 minutes is typical and manageable. Radiation levels are safe, and while the wheel temperature is elevated, it is not critical. The telemetry agent reports low risk, but given the terrain and slope hazards identified by the risk and terrain agents, a medium risk level is appropriate. Proceeding with caution and monitoring the wheel temperature and traction is advised to ensure safety while maintaining mission objectives.",0.85
MR-040,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""traction loss risk"", ""embedded rocks""]","[""intermittent slip spikes"", ""moderate terrain slope"", ""communication delay"", ""traction"", ""obstacle""]",0.5,0.0,0.0,0.0,0.2,0.5,0.286,4.0,1.0,0.5,False,1.0,3.0,9.113,1818.0,"All specialist agents agree on the presence of intermittent slip spikes and moderate terrain slope as primary hazards. The communication delay is noted but not critical, and the battery level is sufficient for continued operation. The terrain agent suggests using autonomous navigation to avoid obstacles, which aligns with the risk agent's recommendation to proceed with caution. Given the medium risk level and the importance of the science objective, proceeding with caution while monitoring telemetry and adjusting the path as needed is the safest action that preserves mission value.",0.85
MR-041,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""soft shoulder"", ""cross-slope hazard""]","[""moderate terrain slope"", ""elevated wheel temperature"", ""communication delay"", ""moderate battery level"", ""potential for wheel wear due to extended travel""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,False,1.0,4.0,8.805,1850.0,"All specialist agents agree on a medium risk level, with the primary concerns being the moderate terrain slope, elevated wheel temperature, and potential for wheel wear due to the longer path. The communication delay and moderate battery level are noted but do not pose immediate threats. The safer path identified by the planner offers improved traction, which is crucial for minimizing risks associated with the slope. Monitoring wheel temperature and battery usage is advised to ensure continued safe operation. Given the current conditions and the mission objective to position the rover for arm deployment, proceeding with the longer, safer path is the best course of action to balance safety and mission value.",0.85
MR-045,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]","[""terrain slope"", ""communication delay"", ""elevated wheel temperature"", ""traction""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,False,1.0,3.0,8.389,1819.0,"All specialist agents agree on a medium risk level, with the primary hazards being the terrain slope, communication delay, and elevated wheel temperature. The terrain agent suggests utilizing the bedrock shoulder for improved traction, which aligns with the mission log's identification of a safer path. The risk agent and telemetry agent both emphasize the importance of monitoring communication and battery levels. Given the current battery level of 66% and the manageable wheel temperature, proceeding with caution while monitoring these parameters is the safest action that preserves mission value. The communication delay is noted, but protocols are in place to handle it effectively.",0.85
MR-049,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""dust-covered ground"", ""unstable edge""]","[""Moderate terrain slope (13 degrees)"", ""Communication delay (13 minutes)"", ""Radiation level (0.27)"", ""Moderate battery level"", ""Slope"", ""Traction""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,False,1.0,5.0,7.891,1801.0,"All specialist agents agree on a medium risk level, with the primary concerns being the moderate terrain slope, communication delay, and battery level. The terrain agent confirms that the chosen path is safer with better traction, which aligns with the mission log's strategy. The risk and telemetry agents both emphasize the importance of monitoring the wheel temperature, battery level, and communication systems. Given the proactive measures already in place and the rover's current operational status, proceeding with caution on the safer path is the best course of action to balance mission value and safety.",0.85
MR-052,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""traction loss risk"", ""embedded rocks""]","[""intermittent slip spikes"", ""significant terrain slope"", ""communication delay"", ""traction"", ""obstacle""]",0.5,0.0,0.0,0.0,0.2,0.5,0.286,4.0,1.0,0.5,False,1.0,3.0,8.998,1844.0,"All specialist agents agree on the presence of intermittent slip spikes and the challenges posed by the terrain's slope and obstacles. The risk level is consistently assessed as medium across all agents, with a shared recommendation to proceed with caution. Adjusting the rover's path to avoid high slip potential areas and monitoring wheel traction closely are advised. The communication delay is noted, but it is not deemed critical enough to halt progress. The battery level and radiation are within acceptable limits, and the wheel temperature, while slightly elevated, is not critical. Therefore, proceeding with caution while optimizing navigation and communication systems is the safest action that preserves mission value.",0.85
