scenario_id,run_id,architecture_type,model,expected_action,recommended_action,decision_correct,expected_hazards,detected_hazards,hazard_match_score,exact_hazard_precision,exact_hazard_recall,exact_hazard_f1,semantic_hazard_precision,semantic_hazard_recall,semantic_hazard_f1,hazard_false_positive_count,hazard_false_negative_count,canonical_hazard_coverage,canonical_hazards_all_detected,plausible_noncanonical_hazard_count,spurious_hazard_count,latency_seconds,token_usage,reasoning,confidence_score
MR-002,1,multi_agent_orchestration,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""elevated wheel slip"", ""rising actuator temperature"", ""low battery level"", ""communication delay"", ""steep terrain slope"", ""loose sand""]",0.333,0.167,0.333,0.222,0.167,0.333,0.222,5.0,2.0,0.333,False,2.0,3.0,13.513,1841.0,"The rover is currently facing multiple high-risk hazards including elevated wheel slip, rising actuator temperature, low battery level, and a steep terrain slope. The combination of these factors increases the risk of mechanical failure and communication issues. Pausing the rover's movement will allow the actuators to cool down and provide an opportunity to conduct a diagnostic check on the wheel systems. This pause will also help in monitoring the battery level closely to ensure communication and operational capabilities are maintained. Given the high risk level, it is prudent to pause and reassess the situation before proceeding.",0.85
MR-004,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""wheel-clearance warnings"", ""rough terrain"", ""potential for wheel entrapment"", ""moderate terrain slope"", ""elevated wheel temperature"", ""sharp embedded rocks"", ""narrow passable channels"", ""fractured bedrock""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,False,6.0,2.0,9.904,1921.0,"The combined reports from the mission planner, risk, and terrain agents indicate a high-risk scenario due to multiple hazards including wheel-clearance warnings, rough terrain, potential for wheel entrapment, moderate terrain slope, elevated wheel temperature, sharp embedded rocks, and narrow passable channels. Given the high priority of the science target but the significant risks involved, it is safest to pause and conduct a detailed terrain analysis using onboard cameras and sensors. This will allow for a more informed decision on whether to proceed or reroute, minimizing the risk of damage to the rover and ensuring mission success.",0.85
MR-008,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""steep slope"", ""shadowed rocks"", ""wheel overheating"", ""uncertain exit route"", ""long communication delay""]","[""low terrain model confidence"", ""communication delay"", ""steep cross-slope"", ""shadowed rocks"", ""narrow gully entrance"", ""uncertain exit route"", ""moderate battery level""]",0.6,0.286,0.4,0.333,0.429,0.6,0.5,4.0,2.0,0.6,False,3.0,1.0,8.543,1893.0,"The scenario presents multiple high-risk factors including low terrain model confidence, significant communication delays, and challenging terrain features such as steep slopes and shadowed rocks. While the science objective is of high value, the combination of these risks, along with a moderate battery level, suggests that proceeding without further assessment could jeopardize the mission. Pausing operations allows for a more detailed analysis of the terrain and communication strategies, potentially involving additional reconnaissance or improved navigation planning, to ensure the rover's safety and mission success.",0.85
MR-032,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""loose sand"", ""steep slope""]","[""intermittent slip spikes"", ""potential unstable terrain"", ""moderate terrain slope"", ""low battery level"", ""elevated wheel temperature"", ""traction loss"", ""slope instability"", ""wheel slippage""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,False,1.0,7.0,10.239,1979.0,"All specialist agents agree on the presence of intermittent slip spikes and potential unstable terrain, which pose a medium risk. The battery level is at 48%, which is manageable but requires careful monitoring. The terrain is described as a loose sand apron with a moderate slope, which could lead to traction issues. The wheel temperature is slightly elevated, but not critically so. Given the mission's science objective to reach an imaging point for mineral mapping, proceeding with caution is recommended. This involves reducing speed, enabling terrain analysis sensors, and monitoring wheel telemetry closely. Rerouting is suggested only if slip spikes persist or increase in frequency. The communication delay of 10 minutes should be accounted for in planning operations.",0.85
MR-033,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]","[""uneven terrain"", ""potential dust storms"", ""moderate terrain slope"", ""elevated wheel temperature"", ""communication delay"", ""rippled drift field""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,False,1.0,5.0,7.447,1919.0,"All specialist agents agree on the medium risk level and recommend proceeding with the safer path identified by the mission planner. The path offers improved traction and stability, which is crucial given the moderate slope and rippled drift field. The battery level is sufficient for the operation, and the communication delay is manageable with the rover's autonomous systems. Monitoring of wheel temperature and battery levels is advised to prevent overheating and ensure continued operation. The science objective is high-priority, and the current conditions allow for safe traversal towards the clay-bearing exposure.",0.85
MR-037,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""dust-covered ground"", ""unstable edge""]","[""uneven terrain"", ""loose soil patches"", ""Moderate terrain slope (17 degrees)"", ""Communication delay (15 minutes)"", ""Elevated wheel temperature (67 degrees)"", ""slope"", ""traction""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,False,1.0,6.0,8.63,1869.0,"All specialist agents agree on proceeding with the identified safer path, which offers improved traction and minimizes risks associated with the uneven terrain and loose soil. The medium risk level is consistent across all reports, with the main concerns being the moderate slope, communication delay, and elevated wheel temperature. These factors are manageable with continuous monitoring and adjustments. The battery level is sufficient for the operation, and radiation levels are safe. Proceeding allows the mission to achieve its scientific objective while maintaining safety.",0.85
MR-040,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""traction loss risk"", ""embedded rocks""]","[""intermittent slip spikes"", ""potential terrain instability"", ""moderate terrain slope"", ""communication delay"", ""traction"", ""obstacle""]",0.5,0.0,0.0,0.0,0.167,0.5,0.25,5.0,1.0,0.5,False,1.0,4.0,7.595,1822.0,"All specialist agents agree on the presence of intermittent slip spikes and potential terrain instability due to the moderate slope and soft regolith. The battery level is sufficient for continued operation, and radiation levels are within safe limits. Although there is a communication delay, it is not critical. The consensus is to proceed with caution, adjusting the rover's path to minimize slip and avoid obstacles. Monitoring wheel telemetry and maintaining a safe battery reserve are essential to ensure mission success and safety.",0.85
MR-041,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""soft shoulder"", ""cross-slope hazard""]","[""uneven terrain"", ""potential dust accumulation"", ""moderate terrain slope"", ""elevated wheel temperature"", ""slope"", ""wheel-damage""]",0.5,0.0,0.0,0.0,0.167,0.5,0.25,5.0,1.0,0.5,False,2.0,3.0,8.093,1790.0,"All specialist agents agree on proceeding with the longer, safer path due to its improved traction and reduced risk of wheel damage. The detected hazards, such as uneven terrain and moderate slope, are acknowledged but considered manageable with continuous monitoring. The battery level is sufficient for the operation, and the communication delay is typical and manageable. The wheel temperature, while elevated, is not critical but should be monitored closely to prevent overheating. The consensus is that the mission's scientific objectives can be achieved safely by following the recommended path.",0.85
MR-045,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""sand ripples"", ""moderate slope""]","[""uneven terrain"", ""potential dust storms"", ""terrain slope"", ""communication delay"", ""elevated wheel temperature"", ""rippled drift field"", ""potential for reduced traction""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,False,2.0,5.0,8.163,1857.0,"All specialist agents agree on proceeding with the mission, emphasizing the importance of the science objective. The mission planner and risk agent both recommend proceeding with the safer path, which offers improved traction and stability, despite being longer. The terrain agent suggests using the bedrock shoulder to minimize traction issues. Given the medium risk level and the rover's current battery level, it is safe to proceed while closely monitoring wheel temperature, battery levels, and weather conditions for potential dust storms. The communication delay is noted but manageable with current protocols.",0.85
MR-049,1,multi_agent_orchestration,gpt-4o,reroute,proceed,False,"[""dust-covered ground"", ""unstable edge""]","[""uneven terrain"", ""potential dust storms"", ""moderate terrain slope"", ""communication delay"", ""battery level monitoring"", ""wheel temperature monitoring"", ""slope"", ""traction""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,False,1.0,7.0,7.555,1835.0,"All specialist agents agree on proceeding with the planned path, which is identified as safer with improved traction. The main hazards include uneven terrain, potential dust storms, and a moderate slope, all of which are manageable with continuous monitoring. The battery level is sufficient for the operation, and the communication delay is accounted for in the planning. Wheel temperature and traction should be monitored to ensure safe navigation. The scientific objective of accessing sulfate-bearing rocks is of high value, justifying the medium risk level.",0.85
