scenario_id,run_id,architecture_type,model,expected_action,recommended_action,decision_correct,expected_hazards,detected_hazards,hazard_match_score,exact_hazard_precision,exact_hazard_recall,exact_hazard_f1,semantic_hazard_precision,semantic_hazard_recall,semantic_hazard_f1,hazard_false_positive_count,hazard_false_negative_count,canonical_hazard_coverage,canonical_hazards_all_detected,plausible_noncanonical_hazard_count,spurious_hazard_count,latency_seconds,token_usage,reasoning,confidence_score
MR-001,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""minor pebble field""]","[""communication delay"", ""terrain slope"", ""radiation exposure"", ""scattered pebble fields""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0,False,1,3,10.845,1643,"The mission planner and terrain agent both recommend proceeding with the mission, citing stable conditions and a high power margin. The risk agent highlights potential risks such as communication delays, terrain slope, and radiation exposure, but these are manageable with current protocols. The detected hazards are not critical and can be mitigated by monitoring and adjusting as necessary. Proceeding with caution allows the mission to achieve its science objectives while maintaining safety.",0.92
MR-002,1,multi_agent_orchestration,gpt-4o,reroute,pause,False,"[""loose sand"", ""steep slope"", ""wheel overheating""]","[""elevated wheel slip"", ""rising actuator temperature"", ""low battery level"", ""communication delay"", ""steep terrain slope"", ""loose sand""]",0.333,0.167,0.333,0.222,0.167,0.333,0.222,5,2,0.333,False,2,3,13.513,1841,"The rover is currently facing multiple high-risk hazards including elevated wheel slip, rising actuator temperature, low battery level, and a steep terrain slope. The combination of these factors increases the risk of mechanical failure and communication issues. Pausing the rover's movement will allow the actuators to cool down and provide an opportunity to conduct a diagnostic check on the wheel systems. This pause will also help in monitoring the battery level closely to ensure communication and operational capabilities are maintained. Given the high risk level, it is prudent to pause and reassess the situation before proceeding.",0.85
MR-003,1,multi_agent_orchestration,gpt-4o,pause,pause,True,"[""low battery""]","[""Low battery level"", ""Extended communication delay"", ""Elevated wheel temperature""]",1.0,0.0,0.0,0.0,0.333,1.0,0.5,2,0,1.0,True,1,1,8.839,1764,"The mission planner agent identifies a critical risk due to the low battery level, which is below the reserve threshold, and recommends aborting the overnight atmospheric sampling sequence to conserve power. The risk agent also highlights the critical nature of the low battery and suggests prioritizing recharging. The communication delay further complicates the situation by limiting timely intervention from mission control. Although the terrain agent considers the terrain manageable, the overall risk from the battery and communication issues necessitates a pause in operations to prevent mission failure.",0.95
MR-004,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""sharp rocks"", ""wheel damage risk"", ""long communication delay""]","[""wheel-clearance warnings"", ""rough terrain"", ""potential for wheel entrapment"", ""moderate terrain slope"", ""elevated wheel temperature"", ""sharp embedded rocks"", ""narrow passable channels"", ""fractured bedrock""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,0.0,False,6,2,9.904,1921,"The combined reports from the mission planner, risk, and terrain agents indicate a high-risk scenario due to multiple hazards including wheel-clearance warnings, rough terrain, potential for wheel entrapment, moderate terrain slope, elevated wheel temperature, sharp embedded rocks, and narrow passable channels. Given the high priority of the science target but the significant risks involved, it is safest to pause and conduct a detailed terrain analysis using onboard cameras and sensors. This will allow for a more informed decision on whether to proceed or reroute, minimizing the risk of damage to the rover and ensuring mission success.",0.85
MR-005,1,multi_agent_orchestration,gpt-4o,reroute,reroute,True,"[""sand ripples"", ""moderate slope""]","[""sand ripples"", ""terrain slope"", ""communication delay"", ""traction"", ""wheel-damage""]",0.5,0.2,0.5,0.286,0.2,0.5,0.286,4,1,0.5,False,1,3,8.09,1928,"All specialist agents agree on the presence of sand ripples and the potential risks associated with them, such as traction issues and wheel damage. The mission planner and risk agent both recommend taking a longer route to avoid these hazards, which aligns with the terrain agent's suggestion to use the bedrock bench route. This route minimizes the risk of slippage and wheel damage while ensuring the rover can still reach the clay-bearing outcrop before dusk. The battery level is sufficient to support this longer traverse, and the communication delay is manageable. Therefore, rerouting to the safer bedrock bench is the safest action that preserves mission value.",0.85
MR-006,1,multi_agent_orchestration,gpt-4o,pause,pause,True,"[""elevated radiation"", ""dust opacity""]","[""increased radiation"", ""dust storms"", ""reduced visibility"", ""moderate battery level"", ""communication delay"", ""elevated wheel temperature"", ""decreased traction"", ""potential dust accumulation on sensors""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0.0,False,4,4,8.493,1845,"The combined reports from the mission planner, risk, and terrain agents indicate a high-risk scenario due to increased radiation levels, potential dust storms, and reduced visibility. The moderate battery level and communication delay further complicate the situation, increasing the risk of operational issues. While the terrain is stable, the potential for dust accumulation on sensors and decreased traction adds to the hazards. Given these factors, pausing operations to conserve energy and reassess conditions is the safest course of action to protect the rover and ensure mission success.",0.85
MR-007,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""nearby dune margin""]","[""communication delay"", ""terrain slope"", ""traction""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,False,0,3,6.756,1633,"The mission planner agent suggests proceeding with the planned observation task, citing low risk and adequate battery levels. However, both the risk agent and terrain agent highlight medium risk due to communication delays and terrain slope, which could affect traction. Given the absence of immediate hazards and the importance of the science objective, proceeding with caution is advisable. Monitoring wheel temperature and battery levels, as well as using autonomous navigation to adjust for terrain changes, will mitigate risks.",0.88
MR-008,1,multi_agent_orchestration,gpt-4o,request_human_review,pause,False,"[""steep slope"", ""shadowed rocks"", ""wheel overheating"", ""uncertain exit route"", ""long communication delay""]","[""low terrain model confidence"", ""communication delay"", ""steep cross-slope"", ""shadowed rocks"", ""narrow gully entrance"", ""uncertain exit route"", ""moderate battery level""]",0.6,0.286,0.4,0.333,0.429,0.6,0.5,4,2,0.6,False,3,1,8.543,1893,"The scenario presents multiple high-risk factors including low terrain model confidence, significant communication delays, and challenging terrain features such as steep slopes and shadowed rocks. While the science objective is of high value, the combination of these risks, along with a moderate battery level, suggests that proceeding without further assessment could jeopardize the mission. Pausing operations allows for a more detailed analysis of the terrain and communication strategies, potentially involving additional reconnaissance or improved navigation planning, to ensure the rover's safety and mission success.",0.85
MR-009,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""minor pebble field""]","[""communication delay"", ""radiation exposure"", ""battery level management"", ""isolated pebble clusters"", ""shallow wheel ruts""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0.0,False,2,3,7.545,1666,"The mission planner and terrain agent both recommend proceeding with the planned imaging operation, citing low-risk conditions due to stable traction and steering. The risk agent highlights medium risk due to communication delay, radiation exposure, and battery management, but these are manageable with proper monitoring and protocols. Given the low terrain slope and firm pavement, the rover can safely proceed while maintaining vigilance on the identified hazards.",0.92
MR-010,1,multi_agent_orchestration,gpt-4o,proceed,proceed,True,"[""nearby dune margin""]","[""communication delay"", ""terrain slope"", ""low slope"", ""stable traction"", ""hard-packed regolith""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0.0,False,2,3,7.982,1716,"All specialist agents report stable conditions with low risk. The mission planner and terrain agent both recommend proceeding with the planned imaging task, as the terrain is stable and the rover's systems are operating within normal parameters. The communication delay is typical and manageable, and the battery level is sufficient for the task. The detected hazards are minor and do not pose significant risks to the mission.",0.95
