scenario_id,architecture_type,runs,expected_action,modal_recommended_action,decision_accuracy,mean_exact_hazard_f1,mean_semantic_hazard_f1,mean_hazard_false_positive_count,mean_hazard_false_negative_count,mean_canonical_hazard_coverage,mean_plausible_noncanonical_hazard_count,mean_spurious_hazard_count,mean_latency_seconds,mean_token_usage,mean_confidence_score
MR-001,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.8,1.0,0.0,2.2,1.6,31.633,2636.8,0.928
MR-001,single_agent,5,proceed,proceed,1.0,0.0,0.0,3.0,1.0,0.0,1.4,1.6,4.843,469.8,0.938
MR-002,multi_agent_orchestration,5,reroute,pause,0.0,0.0,0.198,6.2,2.0,0.333,4.2,2.0,42.488,3518.8,0.894
MR-002,single_agent,5,reroute,reroute,1.0,0.0,0.197,6.2,2.0,0.333,4.8,1.4,7.829,627.4,0.86
MR-003,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,6.0,1.0,0.0,3.6,2.4,36.141,3099.4,0.93
MR-003,single_agent,5,pause,pause,1.0,0.0,0.0,2.8,1.0,0.0,2.0,0.8,6.329,542.2,0.924
MR-004,multi_agent_orchestration,5,request_human_review,request_human_review,1.0,0.0,0.04,7.0,2.8,0.067,4.4,2.6,41.99,3592.0,0.868
MR-004,single_agent,5,request_human_review,reroute,0.2,0.0,0.0,5.6,3.0,0.0,4.6,1.0,6.485,581.4,0.848
MR-005,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.05,5.6,1.8,0.1,2.8,2.8,30.887,3086.0,0.852
MR-005,single_agent,5,reroute,reroute,1.0,0.0,0.0,3.0,2.0,0.0,2.8,0.2,4.957,533.2,0.892
MR-006,multi_agent_orchestration,5,pause,pause,0.6,0.0,0.369,5.2,0.4,0.8,3.4,1.8,44.041,3555.4,0.848
MR-006,single_agent,5,pause,pause,1.0,0.0,0.629,2.4,0.0,1.0,1.4,1.0,9.011,676.8,0.804
MR-007,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,5.0,1.0,0.0,1.8,3.2,33.263,2887.4,0.868
MR-007,single_agent,5,proceed,proceed,1.0,0.0,0.0,2.6,1.0,0.0,1.0,1.6,5.553,510.6,0.904
MR-008,multi_agent_orchestration,5,request_human_review,reroute,0.2,0.0,0.299,6.4,3.0,0.4,3.0,3.4,39.682,3543.2,0.772
MR-008,single_agent,5,request_human_review,request_human_review,1.0,0.173,0.345,4.6,3.0,0.4,3.0,1.6,8.059,679.8,0.856
