scenario_id,architecture_type,runs,expected_action,modal_recommended_action,decision_accuracy,mean_exact_hazard_f1,mean_semantic_hazard_f1,mean_hazard_false_positive_count,mean_hazard_false_negative_count,mean_canonical_hazard_coverage,mean_plausible_noncanonical_hazard_count,mean_spurious_hazard_count,mean_latency_seconds,mean_token_usage,mean_confidence_score
MR-001,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.6,1.0,0.0,1.0,2.6,8.044,1669.8,0.92
MR-002,multi_agent_orchestration,5,reroute,pause,0.0,0.0,0.0,5.0,3.0,0.0,2.0,3.0,11.807,1806.6,0.85
MR-003,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.48,2.2,0.0,1.0,0.2,2.0,9.288,1831.4,0.9
MR-004,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.0,6.4,3.0,0.0,4.8,1.6,10.313,1934.8,0.85
MR-005,multi_agent_orchestration,5,reroute,reroute,1.0,0.302,0.302,3.8,1.0,0.5,1.0,2.8,9.183,1928.4,0.85
MR-006,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.057,5.6,1.8,0.1,3.0,2.6,11.264,1779.8,0.85
MR-007,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.6,1.0,0.0,0.0,3.6,8.443,1613.0,0.88
MR-008,multi_agent_orchestration,5,request_human_review,pause,0.0,0.32,0.385,5.2,2.6,0.48,3.6,1.6,8.835,1877.4,0.838
MR-009,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.2,1.0,0.0,2.2,2.0,8.567,1702.0,0.938
MR-010,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.2,1.0,0.0,0.4,2.8,8.962,1697.6,0.932
MR-011,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,5.0,1.0,0.0,2.2,2.8,7.073,1660.0,0.88
MR-012,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,6.4,1.0,0.0,3.0,3.4,8.115,1783.6,0.88
MR-013,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,9.221,1701.8,0.92
MR-014,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.8,1.0,0.0,1.6,2.2,7.268,1626.4,0.92
MR-015,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.6,1.0,0.0,2.2,2.4,7.823,1679.0,0.916
MR-016,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.2,1.0,0.0,1.4,1.8,10.126,1724.4,0.932
MR-017,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.0,1.0,0.0,1.4,2.6,7.836,1669.6,0.92
MR-018,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.4,1.0,0.0,0.8,2.6,7.636,1681.6,0.88
MR-019,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.2,1.0,0.0,1.0,2.2,8.808,1699.4,0.906
MR-020,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.6,1.0,0.0,1.8,1.8,8.339,1722.2,0.884
MR-021,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,5.6,1.0,0.0,2.6,3.0,9.25,1767.6,0.92
MR-022,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,9.581,1637.0,0.92
MR-023,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,5.0,1.0,0.0,2.2,2.8,9.234,1718.2,0.888
MR-024,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.8,1.0,0.0,1.8,3.0,8.644,1708.6,0.88
MR-025,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,8.859,1737.4,0.92
MR-026,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.8,1.0,0.0,1.6,2.2,7.876,1621.6,0.92
MR-027,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,5.2,1.0,0.0,3.2,2.0,8.455,1776.4,0.92
MR-028,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.8,1.0,0.0,0.8,2.0,8.731,1699.2,0.918
MR-029,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.8,1.0,0.0,1.0,2.8,7.331,1678.8,0.92
MR-030,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.4,1.0,0.0,1.2,2.2,8.83,1667.2,0.88
MR-031,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,7.427,1657.8,0.92
MR-032,multi_agent_orchestration,5,reroute,proceed,0.2,0.15,0.15,6.0,1.4,0.3,1.6,4.4,8.842,1857.0,0.85
MR-033,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.0,4.6,2.0,0.0,1.6,3.0,8.636,1824.8,0.85
MR-034,multi_agent_orchestration,5,reroute,reroute,0.6,0.286,0.286,4.0,1.0,0.5,2.8,1.2,9.414,1833.2,0.85
MR-035,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.355,3.4,0.8,0.6,1.0,2.4,10.329,1877.8,0.85
MR-036,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.04,5.4,2.8,0.067,2.0,3.4,9.788,1924.0,0.85
MR-037,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.0,5.2,2.0,0.0,1.0,4.2,10.158,1938.6,0.862
MR-038,multi_agent_orchestration,5,reroute,reroute,1.0,0.329,0.329,4.0,0.8,0.6,3.4,0.6,9.901,2000.4,0.85
MR-039,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.0,5.2,2.0,0.0,1.2,4.0,9.269,1862.4,0.85
MR-040,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.229,4.2,1.2,0.4,1.0,3.2,10.034,1801.2,0.85
MR-041,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.05,4.8,1.8,0.1,1.4,3.4,8.402,1816.0,0.85
MR-042,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.0,5.0,3.0,0.0,2.4,2.6,8.408,1814.6,0.85
MR-043,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.0,5.4,2.0,0.0,1.0,4.4,10.462,1942.4,0.85
MR-044,multi_agent_orchestration,5,reroute,reroute,0.6,0.133,0.133,6.0,1.4,0.3,1.6,4.4,13.064,1937.2,0.85
MR-045,multi_agent_orchestration,5,reroute,proceed,0.2,0.0,0.0,4.2,2.0,0.0,1.4,2.8,9.323,1922.8,0.856
MR-046,multi_agent_orchestration,5,reroute,reroute,1.0,0.057,0.264,4.6,1.0,0.5,2.8,1.8,8.848,1841.4,0.85
MR-047,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.29,3.6,1.0,0.5,1.6,2.0,8.625,1841.6,0.85
MR-048,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.0,5.2,3.0,0.0,2.6,2.6,7.827,1854.2,0.85
MR-049,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.0,5.6,2.0,0.0,1.0,4.6,9.488,1829.4,0.85
MR-050,multi_agent_orchestration,5,reroute,reroute,1.0,0.414,0.414,4.0,0.4,0.8,3.0,1.0,9.836,1994.8,0.85
MR-051,multi_agent_orchestration,5,reroute,reroute,0.8,0.0,0.0,5.2,2.0,0.0,1.8,3.4,10.575,1889.8,0.85
MR-052,multi_agent_orchestration,5,reroute,proceed,0.4,0.0,0.164,4.4,1.4,0.3,1.0,3.4,9.412,1836.8,0.85
MR-053,multi_agent_orchestration,5,reroute,proceed,0.0,0.0,0.1,4.8,1.6,0.2,1.8,3.0,9.63,1872.6,0.85
MR-054,multi_agent_orchestration,5,reroute,reroute,1.0,0.0,0.113,6.0,2.4,0.2,3.4,2.6,8.044,1880.2,0.85
MR-055,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.5,2.0,0.0,1.0,0.0,2.0,7.0,1697.6,0.85
MR-056,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,6.2,2.0,0.0,3.0,3.2,8.295,1830.4,0.85
MR-057,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.2,1.0,0.0,1.2,3.0,7.222,1724.6,0.85
MR-058,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,5.0,1.0,0.0,2.4,2.6,8.496,1791.8,0.85
MR-059,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.2,2.0,0.0,1.4,2.8,11.361,1695.2,0.85
MR-060,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,6.8,2.0,0.0,2.8,4.0,8.703,1843.0,0.85
MR-061,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.4,3.0,0.0,1.0,1.0,2.0,7.296,1705.8,0.85
MR-062,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.333,3.0,1.0,0.5,1.8,1.2,9.519,1760.8,0.85
MR-063,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,7.638,1694.4,0.85
MR-064,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,6.0,1.0,0.0,2.0,4.0,8.891,1885.6,0.85
MR-065,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.2,2.0,0.0,1.0,3.2,8.055,1740.0,0.85
MR-066,multi_agent_orchestration,5,pause,pause,1.0,0.114,0.114,4.6,1.6,0.2,2.6,2.0,9.287,1792.4,0.85
MR-067,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.46,2.4,0.0,1.0,0.4,2.0,11.823,1633.4,0.85
MR-068,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,5.4,2.0,0.0,2.0,3.4,8.028,1785.0,0.85
MR-069,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.8,1.0,0.0,1.8,3.0,7.815,1736.2,0.85
MR-070,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,3.8,1.0,0.0,2.2,1.6,9.307,1755.4,0.85
MR-071,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.0,2.0,0.0,1.0,3.0,7.362,1709.2,0.85
MR-072,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,6.2,2.0,0.0,2.6,3.6,9.965,1909.6,0.85
MR-073,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.387,3.2,0.0,1.0,1.2,2.0,8.962,1761.4,0.85
MR-074,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.2,5.0,1.2,0.4,2.0,3.0,9.582,1879.4,0.85
MR-075,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,3.4,1.0,0.0,1.0,2.4,9.659,1665.8,0.85
MR-076,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.4,1.0,0.0,2.6,1.8,8.543,1739.0,0.85
MR-077,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,4.0,2.0,0.0,1.0,3.0,7.38,1817.6,0.854
MR-078,multi_agent_orchestration,5,request_human_review,pause,0.0,0.182,0.364,6.0,1.0,0.667,4.2,1.8,9.4,1916.2,0.85
MR-079,multi_agent_orchestration,5,request_human_review,request_human_review,0.6,0.4,0.4,5.0,1.0,0.667,1.0,4.0,11.721,1999.4,0.85
MR-080,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.0,7.6,3.0,0.0,2.4,5.2,9.599,1966.6,0.85
MR-081,multi_agent_orchestration,5,request_human_review,pause,0.2,0.11,0.219,6.4,1.8,0.4,2.0,4.4,15.473,2063.0,0.85
MR-082,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.0,7.6,3.0,0.0,5.8,1.8,11.525,1962.4,0.85
MR-083,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.044,7.0,2.8,0.067,1.2,5.8,9.555,1931.4,0.85
MR-084,multi_agent_orchestration,5,request_human_review,pause,0.0,0.179,0.252,6.8,1.6,0.467,5.6,1.2,8.281,1824.6,0.85
MR-085,multi_agent_orchestration,5,request_human_review,pause,0.4,0.116,0.116,6.6,2.4,0.2,3.4,3.2,11.51,2036.0,0.85
MR-086,multi_agent_orchestration,5,request_human_review,reroute,0.0,0.0,0.0,9.0,3.0,0.0,3.0,6.0,8.979,1889.4,0.85
MR-087,multi_agent_orchestration,5,request_human_review,pause,0.2,0.109,0.187,6.8,2.0,0.333,1.0,5.8,14.663,2071.8,0.85
MR-088,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.04,7.6,2.8,0.067,2.8,4.8,10.11,1936.2,0.85
MR-089,multi_agent_orchestration,5,request_human_review,pause,0.4,0.0,0.031,7.8,2.8,0.067,3.0,4.8,10.808,2001.4,0.82
MR-090,multi_agent_orchestration,5,request_human_review,pause,0.0,0.179,0.358,6.2,1.0,0.667,4.4,1.8,9.552,1995.0,0.85
MR-091,multi_agent_orchestration,5,request_human_review,pause,0.4,0.258,0.258,6.0,1.6,0.467,1.4,4.6,12.384,2029.2,0.85
MR-092,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.0,7.2,3.0,0.0,2.0,5.2,9.741,1952.8,0.85
MR-093,multi_agent_orchestration,5,request_human_review,pause,0.4,0.04,0.213,6.6,1.8,0.4,2.0,4.6,13.902,2018.8,0.85
MR-094,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.073,7.0,2.6,0.133,4.8,2.2,10.248,1968.4,0.85
MR-095,multi_agent_orchestration,5,request_human_review,request_human_review,0.6,0.0,0.04,7.0,2.8,0.067,1.4,5.6,10.412,2002.0,0.862
MR-096,multi_agent_orchestration,5,request_human_review,pause,0.0,0.143,0.318,6.6,1.2,0.6,4.6,2.0,8.986,1875.2,0.85
MR-097,multi_agent_orchestration,5,request_human_review,pause,0.2,0.233,0.233,6.0,1.8,0.4,2.8,3.2,11.573,2070.8,0.85
MR-098,multi_agent_orchestration,5,request_human_review,reroute,0.0,0.0,0.0,8.4,3.0,0.0,3.4,5.0,12.015,2048.2,0.85
MR-099,multi_agent_orchestration,5,request_human_review,pause,0.2,0.178,0.214,5.4,2.0,0.333,1.0,4.4,14.432,1985.6,0.85
MR-100,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.0,8.2,3.0,0.0,3.8,4.4,10.693,2023.2,0.85
