scenario_id,architecture_type,runs,expected_action,modal_recommended_action,decision_accuracy,mean_exact_hazard_f1,mean_semantic_hazard_f1,mean_hazard_false_positive_count,mean_hazard_false_negative_count,mean_canonical_hazard_coverage,mean_plausible_noncanonical_hazard_count,mean_spurious_hazard_count,mean_latency_seconds,mean_token_usage,mean_confidence_score
MR-001,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.412,1578.6,0.95
MR-002,multi_agent_orchestration,5,reroute,pause,0.0,0.152,0.303,4.4,1.8,0.4,2.4,2.0,9.095,1802.2,0.85
MR-003,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.58,1.6,0.0,1.0,1.2,0.4,7.991,1671.8,0.95
MR-004,multi_agent_orchestration,5,request_human_review,request_human_review,0.6,0.0,0.154,6.4,2.2,0.266,4.6,1.8,8.797,1781.0,0.85
MR-005,multi_agent_orchestration,5,reroute,reroute,0.6,0.286,0.514,3.2,0.2,0.9,0.0,3.2,8.394,1786.8,0.85
MR-006,multi_agent_orchestration,5,pause,pause,0.8,0.0,0.0,6.0,2.0,0.0,4.2,1.8,8.022,1695.0,0.85
MR-007,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,1.6,1.0,0.0,0.0,1.6,7.396,1579.0,0.92
MR-008,multi_agent_orchestration,5,request_human_review,proceed,0.0,0.386,0.578,2.4,2.0,0.6,2.4,0.0,8.217,1795.6,0.778
MR-009,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,7.408,1572.6,0.95
MR-010,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.009,1581.4,0.95
MR-011,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,7.932,1581.8,0.92
MR-012,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.2,1.0,0.0,1.4,0.8,8.051,1657.4,0.92
MR-013,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,1.6,1.0,0.0,1.0,0.6,8.208,1579.0,0.938
MR-014,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,1.8,1.0,0.0,1.6,0.2,7.625,1589.2,0.95
MR-015,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.2,1.0,0.0,2.0,0.2,7.751,1599.8,0.95
MR-016,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.2,1.0,0.0,1.6,0.6,9.09,1573.2,0.95
MR-017,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,1.2,1.0,0.0,1.2,0.0,7.639,1581.0,0.944
