scenario_id,architecture_type,runs,expected_action,modal_recommended_action,decision_accuracy,mean_exact_hazard_f1,mean_semantic_hazard_f1,mean_hazard_false_positive_count,mean_hazard_false_negative_count,mean_canonical_hazard_coverage,mean_plausible_noncanonical_hazard_count,mean_spurious_hazard_count,mean_latency_seconds,mean_token_usage,mean_confidence_score
MR-001,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,10.471,2071.4,0.926
MR-001,single_agent,5,proceed,proceed,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.225,492.4,0.95
MR-002,multi_agent_orchestration,5,reroute,pause,0.0,0.04,0.04,5.2,2.8,0.067,2.4,2.8,14.19,2364.0,0.85
MR-002,single_agent,5,reroute,pause,0.0,0.0,0.286,3.0,2.0,0.333,3.0,0.0,2.13,454.8,0.85
MR-003,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.413,3.0,0.0,1.0,1.0,2.0,10.812,2252.0,0.95
MR-003,single_agent,5,pause,pause,1.0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,2.121,428.2,0.95
MR-004,multi_agent_orchestration,5,request_human_review,proceed,0.2,0.0,0.106,7.6,2.4,0.2,4.8,2.8,14.348,2326.4,0.85
MR-004,single_agent,5,request_human_review,pause,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,2.641,451.6,0.85
MR-005,multi_agent_orchestration,5,reroute,proceed,0.2,0.295,0.295,3.8,1.0,0.5,1.0,2.8,10.598,2316.2,0.85
MR-005,single_agent,5,reroute,reroute,1.0,0.9,0.9,0.2,0.2,0.9,0.2,0.0,1.978,440.0,0.85
MR-006,multi_agent_orchestration,5,pause,pause,1.0,0.0,0.0,5.2,2.0,0.0,3.6,1.6,10.877,2233.6,0.85
MR-006,single_agent,5,pause,pause,1.0,0.4,0.4,2.0,1.0,0.5,2.0,0.0,2.303,432.6,0.85
MR-007,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.2,1.0,0.0,0.0,3.2,10.675,2034.2,0.9
MR-007,single_agent,5,proceed,proceed,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.451,452.0,0.95
MR-008,multi_agent_orchestration,5,request_human_review,pause,0.0,0.345,0.518,3.6,2.0,0.6,2.6,1.0,13.309,2328.6,0.83
MR-008,single_agent,5,request_human_review,request_human_review,0.8,0.25,0.25,2.0,4.0,0.2,2.0,0.0,2.464,460.4,0.85
MR-009,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.8,1.0,0.0,2.4,2.4,10.064,2096.4,0.93
MR-009,single_agent,5,proceed,proceed,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.579,495.6,0.95
MR-010,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,2.6,1.0,0.0,0.6,2.0,10.891,2091.6,0.942
MR-010,single_agent,5,proceed,proceed,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.923,495.0,0.95
MR-011,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.8,1.0,0.0,2.0,2.8,10.499,2080.2,0.9
MR-011,single_agent,5,proceed,proceed,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.624,515.4,0.95
MR-012,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,5.8,1.0,0.0,3.2,2.6,10.277,2174.4,0.9
MR-012,single_agent,5,proceed,proceed,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.49,491.4,0.95
MR-013,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.8,1.0,0.0,1.0,2.8,11.2,2163.0,0.916
MR-013,single_agent,5,proceed,proceed,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.336,496.0,0.95
MR-014,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.6,1.0,0.0,1.2,2.4,9.171,2044.2,0.936
MR-014,single_agent,5,proceed,proceed,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.108,489.2,0.95
MR-015,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.2,1.0,0.0,2.0,2.2,11.187,2100.2,0.916
MR-015,single_agent,5,proceed,proceed,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.478,497.8,0.95
MR-016,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.0,1.0,0.0,0.6,2.4,11.343,2141.6,0.926
MR-016,single_agent,5,proceed,proceed,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.776,497.4,0.95
MR-017,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,4.0,1.0,0.0,1.2,2.8,9.906,2087.8,0.906
MR-017,single_agent,5,proceed,proceed,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.377,500.6,0.95
MR-018,multi_agent_orchestration,5,proceed,proceed,1.0,0.0,0.0,3.6,1.0,0.0,0.6,3.0,10.125,2166.4,0.9
